id,ra,dec,ex,ey,ez,gama,rmag,rabsmag,redshift,rad,sern,pos,ba
2744,212.90067000000002,0.7098800000000001,0.70399,-0.70636,0.07387,15,19.1673,-20.0661,0.14795999999999998,3.22412,3.3707,-31.5685,0.4554
2751,212.84817,0.73907,-0.58959,-0.71724,0.37141,15,19.7629,-19.9964,0.184352,2.07177,10.4523,-42.2699,0.6346
2891,213.29217000000003,0.79609,0.49653,-0.76184,0.416,15,19.4891,-20.2213,0.180641,2.5441599999999998,4.2498,-45.6539,0.8885
2937,213.66025,0.66818,0.5393399999999999,0.17342,0.82404,15,18.9699,-20.6995,0.177592,2.13832,2.0179,14.4085,0.4293
3277,215.25067,0.72615,-0.08498,-0.64522,0.75926,15,19.772,-20.8156,0.2588,3.2318599999999997,17.7422,36.7772,0.8868
3283,215.30729,0.73234,-0.059489999999999994,-0.67698,0.73359,15,19.7929,-20.7957,0.259049,2.3938,2.2313,-85.2526,0.2995
3284,215.19207999999998,0.7782899999999999,0.22455,-0.9727899999999999,0.05711,15,19.5852,-19.3024,0.127843,4.421930000000001,2.264,-50.3687,0.6608
3295,215.33925,0.79186,0.65615,0.75458,0.0088,15,18.5712,-20.9967,0.17105599999999999,2.80495,2.9578,-16.1994,0.8194
3326,215.3785,0.71013,0.14901,-0.00734,0.9888100000000001,15,19.5368,-19.685,0.14723599999999998,1.84277,6.7291,-43.3003,0.6816
3368,215.58917000000002,0.7731600000000001,0.988,-0.07992,0.13216,15,18.4867,-20.5164,0.134231,2.6295,3.1269,2.578,0.5455
3418,215.80912999999998,0.76149,0.07926,0.49262,0.8666299999999999,15,18.4641,-20.7095,0.144275,3.42435,2.9667,-88.012,0.8625
3456,215.97478999999998,0.67592,0.22823000000000002,0.36357,0.90317,15,18.8464,-20.3073,0.143062,2.9173,4.47,-74.5794,0.7443
3477,215.95492000000002,0.7893399999999999,-0.6117600000000001,-0.6383,0.46725,15,19.4782,-20.3779,0.191891,3.73489,2.1473,-60.2528,0.1853
3488,216.14607999999998,0.70322,-0.6189399999999999,0.42278999999999994,0.66194,15,18.5132,-20.9021,0.159932,2.60645,3.6995,1.3998,0.7836
3588,216.61157999999998,0.75235,-0.22741,-0.32144,0.91922,15,19.4,-19.5113,0.129119,3.77523,3.784,89.85,0.4946
3600,216.63657999999998,0.8217,0.20065999999999998,-0.7873899999999999,0.5828800000000001,15,19.1145,-20.8784,0.203638,2.6118200000000003,5.089,52.613,0.6849
3696,216.89039,0.8008,0.02518,0.26887,0.96285,15,17.8788,-20.9918,0.127502,5.46755,2.1675,84.2838,0.3574
3704,216.93153999999998,0.81812,0.56396,0.54456,0.6208100000000001,15,18.9062,-20.3793,0.15100999999999998,2.1789,2.734,-8.2247,0.665
3732,216.99175,0.7348100000000001,0.68992,0.5634600000000001,0.45445,15,19.5972,-20.0542,0.175799,2.35229,2.2169,24.4893,0.3953
3843,217.33121,0.814,-0.23046,-0.25373,0.93942,15,18.1051,-20.5995,0.11820699999999999,3.0641599999999998,2.8935,47.328,0.8229
3847,217.36946,0.74873,0.12544,0.56881,0.81285,15,18.4311,-20.4735,0.128575,3.17808,5.0183,-40.237,0.7856
3852,217.40096,0.7492800000000001,0.12544,0.56881,0.81285,15,18.5861,-20.3185,0.129395,2.4969900000000003,4.9409,63.7494,0.6553
3888,217.51928999999998,0.70992,-0.20122,-0.30141999999999997,0.9320200000000001,15,18.5061,-20.2211,0.11935499999999999,2.6572,2.2923,0.8753,0.484
3923,217.57929,0.7269899999999999,-0.16022999999999998,0.8790399999999999,0.44901,15,18.4353,-20.449,0.12828,2.35419,2.2778,-79.8058,0.2107
4052,217.85542,0.70541,0.66701,0.027460000000000002,0.74455,15,18.695,-20.1475,0.125373,2.22761,4.1615,-9.5085,0.3573
4066,217.96403999999998,0.8116300000000001,0.22421999999999997,-0.9568,0.1851,15,18.3116,-20.5808,0.12884400000000001,7.15429,2.0581,-58.5372,0.2343
4071,217.99303999999998,0.7581399999999999,0.68899,-0.38233,0.6157199999999999,15,19.8481,-18.6657,0.108928,1.99633,4.9103,20.5951,0.8008
4245,218.50767000000002,0.72639,0.69071,-0.70954,0.13953,15,19.5913,-19.1404,0.118926,2.15769,2.2526,-39.1784,0.4375
4272,218.71632999999997,0.6654100000000001,-0.92268,-0.15528,0.35291,15,19.1614,-19.9265,0.139138,2.44758,4.2278,-83.67,0.7965
4503,219.75075,0.7761399999999999,-0.7653300000000001,-0.47075,0.43893000000000004,15,19.667,-20.3244,0.202516,2.3557799999999998,3.6764,-56.0071,0.8218
4506,219.76796000000002,0.80369,-0.80578,-0.32556,0.4947,15,19.0678,-20.8502,0.196721,2.00561,2.8516,86.4099,0.3916
4516,219.74507999999997,0.7780600000000001,-0.7653300000000001,-0.47075,0.43893000000000004,15,19.6246,-20.3668,0.20343699999999998,2.33642,3.8351,-58.2178,0.8382
4539,219.83437,0.6928,-0.67169,-0.52362,0.52407,15,19.3335,-20.667,0.203275,2.3104,2.2845,78.5302,0.6423
4736,220.99767000000003,0.67224,0.55772,-0.6873100000000001,0.46535,15,19.6224,-20.986,0.260984,1.8000599999999998,2.2715,-46.4667,0.5967
4740,221.05929,0.6956899999999999,0.58286,-0.7277399999999999,0.36148,15,19.7051,-20.9054,0.261133,2.2696,3.8584,31.6649,0.7534
4765,221.17029,0.7326199999999999,-0.32378,0.9382799999999999,0.12165999999999999,15,18.5645,-20.5124,0.138491,2.22736,2.8878,49.3657,0.869
4869,221.80458,0.72854,-0.19737000000000002,0.92594,0.32199,15,18.0105,-20.7635,0.12176600000000001,2.20682,4.0252,-64.9697,0.3699
4974,222.45372000000003,0.7149,-0.59849,0.2859,0.74838,15,17.6445,-20.6737,0.100128,3.01943,2.0962,-53.0881,0.4186
5069,223.07075,0.6964899999999999,0.24243,-0.06806,0.96778,15,19.882,-20.0004,0.19336199999999998,1.9140099999999998,13.7307,-77.7962,0.5846
5363,175.09992,1.1931,0.46535,0.67695,0.57026,12,17.6238,-20.9273,0.11079100000000001,3.40159,3.7998,-83.9941,0.6254
5364,175.10103999999998,1.2148,0.46535,0.67695,0.57026,12,18.9134,-19.6377,0.11058,2.41323,5.177,16.6016,0.8708
5430,175.47846,1.22068,0.14367,-0.8619899999999999,0.48613999999999996,12,18.5351,-20.8769,0.15948800000000002,2.59225,2.3593,-71.8236,0.8558
5507,175.83283,1.06966,0.6262300000000001,0.14377,0.76627,12,19.7704,-19.0353,0.123424,2.19296,4.9635,10.7366,0.5536
5577,176.362,1.0783399999999999,0.57385,-0.31473,0.75607,12,18.8046,-20.5386,0.15495,2.61769,10.3405,47.2362,0.7948
5609,176.54729,1.1833799999999999,0.8629399999999999,0.06863,0.50062,12,19.7106,-19.4568,0.143896,2.2618099999999997,3.2908,-52.0465,0.7516
5776,177.2075,1.19244,0.02684,0.54469,0.83821,12,19.5309,-20.4025,0.198579,2.71748,2.1256,47.4787,0.2188
5817,177.55158,1.2367,0.50005,0.81794,0.28447,12,19.2332,-20.2084,0.161483,2.67394,15.724,60.7096,0.3606
5850,177.63825,1.10766,0.37916,-0.57303,0.72655,12,19.3407,-20.0499,0.15768800000000002,2.22675,3.8298,-75.6134,0.7378
5908,177.92371,1.10135,-0.97629,-0.19219,0.09958,12,19.635,-19.1603,0.122876,1.65457,2.2058,-31.9485,0.7502
