id,ra,dec,ex,ey,ez,gama,e_class,rmag,rabsmag,redshift,rad,sern,pos,ba,g_class
7977,214.95038,1.07945,-0.40824,-0.47005,0.78256,15,0,19.3822,-19.4868,0.126795,2.90793,0.6731,-25.498,0.3545,0
8193,175.35275,-1.11954,0.6681,0.18955999999999998,0.7195199999999999,12,0,19.6362,-20.178,0.188591,3.31851,0.6991,-81.1473,0.8396,1
8205,175.36358,-1.07277,0.65046,0.22629000000000002,0.72505,12,0,19.5913,-20.2255,0.188801,4.74057,1.469,-59.1358,0.2138,0
8242,175.66508000000002,-1.15955,0.8593,0.30430999999999997,0.41108999999999996,12,0,18.4261,-20.0492,0.107142,4.42664,0.9337,60.2822,0.2677,0
8333,176.10313,-1.2247700000000001,0.42848,0.4784,0.76651,12,0,18.3805,-20.043,0.104778,5.17338,1.1678,5.1551,0.4039,0
8379,176.16313,-1.16872,0.26726,-0.14384,0.95283,12,0,18.3515,-20.2183,0.111575,5.34281,0.7934,-73.0799,0.6252,0
8416,176.29638,-1.1150200000000001,0.99119,-0.01575,-0.13153,12,0,19.2733,-19.2079,0.10740999999999999,4.5834,0.7567,6.5286,0.2629,0
8420,176.29825,-1.21596,0.9879600000000001,-0.01083,-0.15436,12,0,19.8051,-18.6789,0.10754000000000001,3.75999,0.053,-33.2123,0.378,0
8464,176.48617,-1.16723,-0.47703,-0.87031,0.12247000000000001,12,0,19.6874,-18.7849,0.106999,11.305,1.2478,38.1378,0.287,0
8469,176.57879,-1.23389,-0.43073,0.5473899999999999,0.7175199999999999,12,0,18.7985,-20.3197,0.14093,4.50778,1.0121,-32.3827,0.2789,0
8506,176.68117,-1.18275,-0.24316999999999997,-0.81403,0.52747,12,0,18.0468,-20.4311,0.10725799999999999,5.20474,0.7865,0.0003,0.5007,0
8517,176.67633,-1.12765,-0.41098999999999997,0.55202,0.72551,12,0,19.4783,-19.6373,0.140779,4.83036,0.8063,53.6197,0.4498,0
8531,176.80579,-1.20575,0.37726,0.38650999999999996,0.8416,12,0,18.9405,-20.4038,0.155026,2.45718,1.5782,-18.6863,0.2783,0
8541,176.77658,-1.22547,-0.23219,-0.96757,0.09946,12,0,19.6671,-19.5452,0.146646,5.04539,1.7391,73.3741,0.3556,0
8554,176.86796,-1.05406,-0.21249,0.4694,0.85703,12,0,19.0684,-20.0333,0.139957,5.00649,1.003,-78.3613,0.1922,0
8611,177.16603999999998,-1.13411,0.77766,0.19378,0.5980800000000001,12,0,19.7337,-19.9601,0.179404,5.33352,0.296,-61.406,0.1998,0
8615,177.12146,-1.21086,-0.36069,-0.93229,0.02733,12,0,19.3649,-20.1182,0.16431600000000002,2.78973,1.3365,-47.0367,0.0732,0
8664,177.37621000000001,-1.05741,-0.95204,0.21589,0.21683000000000002,12,0,19.1817,-19.6302,0.12374500000000001,2.9664599999999997,1.5827,-16.4324,0.6361,0
8704,177.75153999999998,-1.19849,0.39259,-0.65882,0.64174,12,0,19.7457,-19.1503,0.12825999999999999,11.3045,1.7989,87.9992,0.3103,0
8794,178.22458,-1.21845,-0.6302800000000001,0.6966600000000001,0.34268000000000004,12,0,19.0979,-20.4687,0.170148,2.89614,1.4728,-50.0591,0.758,1
8799,178.11421,-1.19782,0.29812,0.95047,0.0879,12,0,19.303,-20.272,0.170739,3.2648200000000003,0.6968,74.3416,0.4082,0
8802,178.17279,-1.13133,0.30612,0.08114,0.9485299999999999,12,0,19.6408,-20.176,0.188801,2.81503,1.0456,-81.2748,0.4374,1
8803,178.20896000000002,-1.0554,0.32916999999999996,-0.0507,0.94291,12,0,19.3758,-20.4524,0.189691,5.52879,1.0333,3.5233,0.7459,1
8825,178.31021,-1.2231100000000001,-0.40645,0.07185,0.91084,12,0,19.0735,-19.9574,0.13581700000000002,3.4533,0.5787,-63.5387,0.356,0
8826,178.31812,-1.08752,-0.34521999999999997,0.19405,0.91824,12,0,19.6673,-19.3613,0.135686,2.94266,0.6267,-23.4621,0.7342,0
8986,178.98703999999998,-1.16104,-0.32704,0.62815,0.70602,12,0,19.5813,-19.2899,0.126913,4.23421,1.4177,-18.0849,0.2841,0
8992,179.02492,-1.14539,-0.031219999999999998,-0.35361,0.9348700000000001,12,0,19.8495,-19.0784,0.13000599999999998,5.468430000000001,0.8486,6.3282,0.7105,0
8995,179.10029,-1.17581,-0.12458,0.02907,0.9917799999999999,12,0,19.7602,-19.1884,0.131157,3.2983,1.9934,47.8026,0.5572,0
9074,179.34883,-1.22367,0.39427,-0.6564,0.6431899999999999,12,0,19.5693,-19.9242,0.165027,3.97974,0.8198,-12.5459,0.8984,1
9116,179.45629,-1.13693,0.26645,-0.45601,0.84915,12,0,19.5793,-19.9261,0.165847,3.37572,0.7281,43.0352,0.2348,0
