id,ra,dec,ex,ey,ez,gama,rmag,rabsmag,redshift,rad,sern,pos,ba
1085,179.79029,0.66306,0.83268,0.51699,0.19842,12,19.3134,-19.6483,0.131889,2.4957700000000003,0.5763,-41.2064,0.471
1090,179.71967,0.66341,-0.7875300000000001,0.1278,0.60288,12,19.7405,-19.3708,0.14052,4.16881,0.633,-67.502,0.7227
1102,179.97558,0.67576,-0.17424,0.04559,0.98365,12,18.6823,-19.8055,0.10772000000000001,2.53137,1.8041,-53.6781,0.4642
1153,180.19663,0.81406,-0.40957,-0.86208,0.29843000000000003,12,18.7911,-19.565,0.101781,3.8752199999999997,1.2701,-62.9521,0.4997
1174,180.20646000000002,0.8278,-0.70339,-0.01138,0.71072,12,19.0607,-20.0812,0.142349,4.781680000000001,1.4561,32.5305,0.6635
1177,180.2335,0.6743,0.44651,-0.36264,0.818,12,19.1486,-19.4115,0.11111199999999999,2.9700900000000003,1.3049,-63.0827,0.7203
1194,180.37796,0.69792,-0.20859,-0.13482,0.96867,12,18.3304,-19.9956,0.100469,3.98135,0.7041,46.9979,0.8108
1222,180.43579,0.6400399999999999,-0.12994,-0.12293,0.98387,12,17.9384,-20.4058,0.10126,5.00774,0.7413,52.2048,0.6108
1295,180.62738000000002,0.81615,-0.11489,0.08027999999999999,0.99013,12,19.6199,-19.5948,0.146792,4.02752,0.789,46.4024,0.4825
1300,180.76686999999998,0.73131,0.50608,0.7713300000000001,0.38593,12,19.1613,-19.2965,0.106334,3.45762,0.5556,-74.6023,0.1741
1337,180.9545,0.8307899999999999,-0.23661,-0.18254,0.95431,12,19.1232,-20.1487,0.150375,4.3055900000000005,0.9205,14.2634,0.8326
1391,181.36583000000002,0.74398,-0.8988,-0.42723999999999995,-0.09809,12,19.0261,-19.9472,0.13254200000000002,3.5761199999999995,0.916,76.4984,0.6078
1424,181.73558,0.67806,-0.50198,-0.15037999999999999,0.8517,12,18.794,-19.8566,0.11550999999999999,3.4046,1.0123,-8.3622,0.2247
1460,181.81583,0.67738,0.60668,-0.13806,0.78286,12,19.1576,-20.4562,0.173528,4.11465,0.3109,-27.0277,0.1713
1783,183.46116999999998,0.70717,-0.0874,0.02471,0.99587,12,19.6752,-20.4366,0.213214,2.2766,0.1636,29.5034,0.3797
1897,183.88746,0.8266899999999999,-0.98754,0.04022,0.15213,12,19.6505,-20.1226,0.185408,2.16912,0.8122,69.3208,0.4693
2066,184.59475,0.8221200000000001,0.3718,0.35517,0.8576799999999999,12,18.3723,-20.176,0.11055599999999999,6.59697,1.2906,-2.8299,0.5604
2103,184.70642,0.6874600000000001,0.45951000000000003,0.43626000000000004,0.77365,12,18.7936,-19.7514,0.11039500000000001,2.05703,1.0688,-27.5633,0.3836
2254,185.12521,0.71411,0.96478,-0.11459000000000001,0.23681,12,18.8188,-20.0219,0.12528,4.96903,1.3915,-12.724,0.7658
2498,211.96528999999998,0.82529,0.8356600000000001,0.23095,0.49833,15,19.2957,-20.2241,0.166852,2.52772,1.1234,-82.1332,0.4118
2521,211.94654,0.8023600000000001,-0.43027,-0.73461,0.5246,15,19.6796,-20.2881,0.200942,2.87129,0.4535,-8.5773,0.8619
2579,212.18917000000002,0.73733,0.44926000000000005,-0.019880000000000002,0.89318,15,19.3067,-20.3495,0.176617,2.80079,0.6721,79.738,0.8077
2583,212.19662000000002,0.77253,0.46643999999999997,-0.02175,0.8842899999999999,15,19.5916,-20.0704,0.177047,4.44992,1.447,-22.7551,0.3934
2647,212.52007999999998,0.8239,0.81114,0.02384,0.58437,15,19.3682,-19.8964,0.149918,3.47212,1.0845,-56.6,0.1958
