dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std
0.0,0.01,0.02,0.9976503083247688,0.0056395489973817305,1.006514952424105,0.004385305070070085
0.02,0.03,0.04,1.0020038540596097,0.00503231967867394,0.9941712732215677,0.004991562708154557
0.04,0.05,0.06,1.0026983556012332,0.004598600703313496,1.0021853194381511,0.004683402666492611
0.06,0.07,0.08,1.0006942446043166,0.0058176314321984396,0.9995335296782963,0.004580514972019547
0.08,0.09,0.1,1.0067523124357656,0.0055071501548777475,1.0118056184866335,0.005092866618953417
0.1,0.11,0.12,0.9995372559095581,0.005327588090396716,0.9985552786588128,0.004776670965979034
0.12,0.13,0.14,1.0073399280575541,0.004843585219208075,0.9835949252378797,0.004583656050695128
0.14,0.15000000000000002,0.16,1.000156474820144,0.004222093866181763,0.9989093792478478,0.00468124059976342
0.16,0.16999999999999998,0.18,0.9974293422404934,0.00469196279944142,1.007687358405075,0.0045293006185774965
0.18,0.19,0.2,1.0029534943473792,0.00608464800075781,0.9989037154508382,0.0049205106338046254
0.2,0.21000000000000002,0.22,0.9967972764645425,0.005234463608917979,0.9964682827367468,0.004709344890681631
0.22,0.22999999999999998,0.24,1.001381294964029,0.004375329450937338,1.0032170367014046,0.004465757657772899
0.24,0.25,0.26,1.0000835046248717,0.005126673092867046,0.9983067512460354,0.0048049807197813104
0.26,0.27,0.28,1.0041248715313464,0.00468780750443653,0.9951411418214771,0.005056628281744928
0.28,0.29000000000000004,0.3,1.0042117163412125,0.004529232200750321,1.0011558676937018,0.00416643873233724
0.3,0.31,0.32,0.9897926515930112,0.00540906290938059,1.006885138196647,0.004279491375403364
0.32,0.33,0.34,0.9908630524152107,0.004765212382647278,1.006118486633439,0.0048277554593974545
0.34,0.35,0.36,1.0008967112024667,0.005349114482270096,1.003685772541912,0.005125928115629547
0.36,0.37,0.38,0.9960452209660843,0.004667637546758741,0.9907906660625281,0.004881372951162016
0.38,0.39,0.4,0.996330421377184,0.004730415232165355,1.0068409605799729,0.003876839448907497
0.4,0.41000000000000003,0.42,0.9962520554984583,0.004763680948024954,0.9927401449932035,0.004679014740377877
0.42,0.43,0.44,1.0070061664953753,0.004822097746379462,0.9944415496148619,0.004661138944643455
0.44,0.45,0.46,0.9969843268242551,0.004983723682432943,1.002893973719982,0.005179625690783679
0.46,0.47,0.48,1.0028417266187053,0.004785992403370667,1.0007503398278206,0.00529060323240091
0.48,0.49,0.5,1.0034884378211717,0.005036424585535116,1.0043615768010876,0.005493608408717725
0.5,0.51,0.52,0.9936754881808838,0.005137274166104722,1.0031721794290893,0.004665283567461863
0.52,0.53,0.54,1.0018604830421374,0.004442915007015759,1.009479610330766,0.003800339091159193
0.54,0.55,0.56,1.0023098663926004,0.005118595512080221,0.9873418667874942,0.0047232278601423115
0.56,0.5700000000000001,0.58,0.9939619732785201,0.004738464543022079,0.9965163117353874,0.00493267060810798
0.58,0.59,0.6,1.0069321685508736,0.00465582311670841,0.9957199818758493,0.005323347995650818
0.6,0.61,0.62,1.0025369989722508,0.005190077157203216,0.9983629361123696,0.004854836715805382
0.62,0.63,0.64,0.9969673689619732,0.004874951172729439,0.9931504304485728,0.005114685767796725
0.64,0.65,0.66,0.9994252312435765,0.0051248716279586985,1.00323810602628,0.004524878295514049
0.66,0.67,0.68,0.9946605858170608,0.004589727000858101,0.9979250113275937,0.003875997584239955
0.68,0.6900000000000001,0.7000000000000001,1.0067962487153135,0.005186334753694262,0.9994594472134117,0.004795105305393281
0.7000000000000001,0.71,0.72,0.9935680883864338,0.004790095740033965,1.0039365654734935,0.005175702653933705
0.72,0.73,0.74,0.9939660842754368,0.005081696060589632,1.0051878115088355,0.004464638650801384
0.74,0.75,0.76,1.000763103802672,0.0054359864870931526,0.9981579066606254,0.004680126154644139
0.76,0.77,0.78,1.006574511819116,0.0051261514206700914,0.9985160851835071,0.004733910369859321
0.78,0.79,0.8,1.000407502569373,0.005552820065395879,0.9970788400543724,0.004667493097002429
0.8,0.81,0.8200000000000001,1.0092302158273379,0.004346492502725476,0.9991180335296784,0.004104412668314205
0.8200000000000001,0.8300000000000001,0.84,1.0048638232271325,0.0051573884612196265,0.9971377435432716,0.004570216006013159
0.84,0.85,0.86,0.9907489722507709,0.004543146221263244,1.00032736746715,0.004730319037029669
0.86,0.87,0.88,0.9959946043165468,0.004968388805228463,1.001663117353874,0.004573716191346357
0.88,0.89,0.9,0.992834789311408,0.004536439948567152,1.0042152242863616,0.004785100534243758
0.9,0.91,0.92,0.9942777492291881,0.005478621967479856,1.001579293158133,0.004725541285583978
0.92,0.93,0.9400000000000001,1.0033191161356627,0.0047234251843382815,1.0057374263706387,0.004942810025467015
0.9400000000000001,0.95,0.96,1.0042235354573483,0.005474247901524261,0.9951107838695062,0.004702786715766774
0.96,0.97,0.98,1.001427543679342,0.005146079453994788,1.0028570457634798,0.005045068655604361
0.98,0.99,1.0,1.0035801644398765,0.004987781499369252,0.9970299048482104,0.004869816327311233
