dum_min,dum_mean,dum_max,e_spiral_low,e_spiral_mean,e_spiral_high,e_elliptic_low,e_elliptic_mean,e_elliptic_high
0.0,0.01,0.02,0.65,1.0999999999999999,1.5262499999999997,0.62375,0.95,1.4787499999999987
0.02,0.03,0.04,0.62375,1.05,1.4262499999999996,0.65,1.0999999999999999,1.5
0.04,0.05,0.06,0.62125,1.15,1.6,0.7000000000000001,1.0999999999999999,1.55
0.06,0.07,0.08,0.7000000000000001,1.15,1.6,0.62375,1.15,1.55
0.08,0.09,0.1,0.6737500000000001,1.15,1.552499999999999,0.7237500000000001,1.0999999999999999,1.55
0.1,0.11,0.12,0.7000000000000001,1.05,1.4262499999999996,0.6,1.0,1.5
0.12,0.13,0.14,0.5974999999999999,0.95,1.2762499999999997,0.6,1.0999999999999999,1.6
0.14,0.15000000000000002,0.16,0.6,1.05,1.452499999999999,0.7237500000000001,1.0999999999999999,1.55
0.16,0.16999999999999998,0.18,0.57375,0.975,1.4500000000000002,0.6475,1.0999999999999999,1.5262499999999997
0.18,0.19,0.2,0.75,1.05,1.5,0.47375000000000006,0.8999999999999999,1.3
0.2,0.21000000000000002,0.22,0.65,1.05,1.4262499999999996,0.5499999999999999,1.0,1.4024999999999992
0.22,0.22999999999999998,0.24,0.7000000000000001,1.075,1.4500000000000002,0.7000000000000001,1.0999999999999999,1.5
0.24,0.25,0.26,0.52375,0.95,1.4262499999999996,0.8,1.15,1.7262499999999996
0.26,0.27,0.28,0.6737500000000001,1.05,1.5762499999999995,0.57375,0.95,1.2762499999999997
0.28,0.29000000000000004,0.3,0.6,0.975,1.4500000000000002,0.62375,1.0,1.4000000000000001
0.3,0.31,0.32,0.62375,1.0250000000000001,1.5262499999999997,0.7000000000000001,1.0999999999999999,1.4762499999999996
0.32,0.33,0.34,0.6737500000000001,1.05,1.5,0.57375,1.05,1.4500000000000002
0.34,0.35,0.36,0.6737500000000001,1.05,1.5,0.6,1.05,1.5262499999999997
0.36,0.37,0.38,0.5499999999999999,0.95,1.35,0.5,1.0,1.5262499999999997
0.38,0.39,0.4,0.75,1.15,1.5,0.6,0.95,1.4500000000000002
0.4,0.41000000000000003,0.42,0.5499999999999999,1.05,1.5762499999999995,0.5,0.8999999999999999,1.4762499999999996
0.42,0.43,0.44,0.7000000000000001,1.0999999999999999,1.7000000000000002,0.7000000000000001,1.05,1.55
0.44,0.45,0.46,0.6,0.95,1.4262499999999996,0.57375,0.95,1.4287499999999989
0.46,0.47,0.48,0.6737500000000001,1.0,1.4762499999999996,0.6737500000000001,1.0999999999999999,1.5
0.48,0.49,0.5,0.7000000000000001,1.05,1.55,0.7000000000000001,1.0,1.55
0.5,0.51,0.52,0.5499999999999999,0.95,1.4262499999999996,0.5974999999999999,1.0,1.4500000000000002
0.52,0.53,0.54,0.65,0.975,1.4000000000000001,0.62375,0.8999999999999999,1.3762499999999995
0.54,0.55,0.56,0.6,1.0,1.4262499999999996,0.5,0.8500000000000001,1.3812499999999979
0.56,0.5700000000000001,0.58,0.62375,1.05,1.55,0.6737500000000001,1.05,1.552499999999999
0.58,0.59,0.6,0.65,1.15,1.6262499999999995,0.6,0.8999999999999999,1.35
0.6,0.61,0.62,0.62375,1.0,1.4024999999999992,0.5499999999999999,0.95,1.3262499999999997
0.62,0.63,0.64,0.62375,0.95,1.4500000000000002,0.65,1.0,1.55
0.64,0.65,0.66,0.5499999999999999,0.8750000000000001,1.3,0.62375,0.95,1.4500000000000002
0.66,0.67,0.68,0.5,0.8500000000000001,1.2,0.5499999999999999,1.0,1.4500000000000002
0.68,0.6900000000000001,0.7000000000000001,0.47375000000000006,0.8250000000000001,1.2,0.57375,0.95,1.3524999999999991
0.7000000000000001,0.71,0.72,0.5499999999999999,0.8500000000000001,1.2,0.47125000000000006,1.0,1.4762499999999996
0.72,0.73,0.74,0.4,0.8,1.2,0.6,0.8999999999999999,1.3762499999999995
0.74,0.75,0.76,0.47375000000000006,0.8500000000000001,1.2262499999999996,0.65,0.95,1.4262499999999996
0.76,0.77,0.78,0.4,0.75,1.0999999999999999,0.62375,0.95,1.4287499999999989
0.78,0.79,0.8,0.5499999999999999,0.8999999999999999,1.3,0.44999999999999996,0.8500000000000001,1.4024999999999992
0.8,0.81,0.8200000000000001,0.5499999999999999,0.8999999999999999,1.3,0.57375,0.95,1.3762499999999995
0.8200000000000001,0.8300000000000001,0.84,0.6,0.95,1.452499999999999,0.57375,0.95,1.2762499999999997
0.84,0.85,0.86,0.5499999999999999,0.95,1.2762499999999997,0.8,1.2,1.7762499999999997
0.86,0.87,0.88,0.62375,1.05,1.55,0.49750000000000005,0.8999999999999999,1.3262499999999997
0.88,0.89,0.9,0.62375,1.05,1.5262499999999997,0.47375000000000006,0.8999999999999999,1.3762499999999995
0.9,0.91,0.92,0.65,1.0,1.5,0.5499999999999999,0.95,1.35
0.92,0.93,0.9400000000000001,0.7000000000000001,1.05,1.4762499999999996,0.39749999999999996,0.8500000000000001,1.2262499999999996
0.9400000000000001,0.95,0.96,0.62375,0.95,1.4287499999999989,0.42375,0.8,1.2
0.96,0.97,0.98,0.6,0.95,1.4762499999999996,0.47375000000000006,0.8500000000000001,1.3
0.98,0.99,1.0,0.65,1.05,1.5262499999999997,0.5499999999999999,0.95,1.3762499999999995
