dum_min,dum_mean,dum_max,e_spiral_low,e_spiral_mean,e_spiral_high,e_elliptic_low,e_elliptic_mean,e_elliptic_high
0.0,0.005,0.01,0.5,1.0,1.7000000000000002,0.6,1.2,1.8524999999999994
0.01,0.015,0.02,0.5,1.0,1.7000000000000002,0.5475,1.2,1.9
0.02,0.025,0.03,0.4475,1.0999999999999999,1.7000000000000002,0.5475,1.2,1.952499999999999
0.03,0.035,0.04,0.4475,1.0999999999999999,1.6,0.5475,1.2,1.8524999999999994
0.04,0.045,0.05,0.6,1.0,1.7000000000000002,0.7000000000000001,1.2,2.0
0.05,0.055,0.06,0.4,1.0999999999999999,1.7999999999999998,0.7000000000000001,1.0999999999999999,1.7999999999999998
0.06,0.065,0.07,0.5475,1.0999999999999999,1.6524999999999992,0.5,1.0999999999999999,1.6524999999999992
0.07,0.07500000000000001,0.08,0.5,1.2,2.0524999999999993,0.6475,1.2,1.7999999999999998
0.08,0.08499999999999999,0.09,0.5,1.0999999999999999,1.9,0.4475,1.0999999999999999,1.7524999999999993
0.09,0.095,0.1,0.34750000000000003,1.0,1.6,0.5475,1.0999999999999999,1.7524999999999993
0.1,0.10500000000000001,0.11,0.5,1.0,1.6524999999999992,0.5,1.0999999999999999,1.9
0.11,0.11499999999999999,0.12,0.5475,1.0,1.6,0.6,1.2,1.8524999999999994
0.12,0.125,0.13,0.6,1.0999999999999999,1.7000000000000002,0.4475,1.2,1.952499999999999
0.13,0.135,0.14,0.4475,1.0999999999999999,1.7000000000000002,0.5475,1.15,1.7999999999999998
0.14,0.14500000000000002,0.15,0.4475,1.0,1.9,0.5475,1.0999999999999999,1.7999999999999998
0.15,0.155,0.16,0.5,1.0999999999999999,1.7000000000000002,0.49500000000000005,1.0999999999999999,1.7999999999999998
0.16,0.165,0.17,0.4,1.0999999999999999,1.7524999999999993,0.5,1.0999999999999999,1.952499999999999
0.17,0.175,0.18,0.6,1.0,1.952499999999999,0.5475,1.0,1.6524999999999992
0.18,0.185,0.19,0.5,1.0,1.6524999999999992,0.5475,1.0999999999999999,1.7000000000000002
0.19,0.195,0.2,0.4,1.0,1.5,0.4475,1.0,1.7000000000000002
0.2,0.20500000000000002,0.21,0.5,1.0,1.6524999999999992,0.4475,1.0,1.9
0.21,0.215,0.22,0.4,1.0,1.7000000000000002,0.6,1.0999999999999999,1.7000000000000002
0.22,0.225,0.23,0.6,1.2,1.8524999999999994,0.5,1.0999999999999999,1.7999999999999998
0.23,0.235,0.24,0.5475,1.0999999999999999,1.7000000000000002,0.5,1.0999999999999999,1.7000000000000002
0.24,0.245,0.25,0.5,1.0,1.8524999999999994,0.5,1.0999999999999999,1.9049999999999985
0.25,0.255,0.26,0.5,1.0,1.6,0.5,1.2,1.7000000000000002
0.26,0.265,0.27,0.5,1.0999999999999999,1.8524999999999994,0.6,1.0,1.6524999999999992
0.27,0.275,0.28,0.5,1.0999999999999999,1.7999999999999998,0.6,1.0999999999999999,1.7524999999999993
0.28,0.28500000000000003,0.29,0.6,1.05,1.8524999999999994,0.5475,1.0999999999999999,1.7999999999999998
0.29,0.295,0.3,0.6,1.0999999999999999,1.7000000000000002,0.5,1.0999999999999999,1.8524999999999994
0.3,0.305,0.31,0.5,1.05,1.7000000000000002,0.5,1.0,1.5
0.31,0.315,0.32,0.6,1.0999999999999999,1.6,0.34750000000000003,1.0999999999999999,1.7000000000000002
0.32,0.325,0.33,0.5,1.0,1.5,0.5475,1.0,1.7000000000000002
0.33,0.335,0.34,0.4475,1.0,1.7000000000000002,0.5,1.0999999999999999,1.9
0.34,0.34500000000000003,0.35000000000000003,0.5,1.0,1.552499999999999,0.5475,1.0,1.6
0.35000000000000003,0.355,0.36,0.5475,1.0999999999999999,1.8524999999999994,0.5,1.0,1.7000000000000002
