min,max,N
0.0,0.010101010101010102,0.009547602131438722
0.010101010101010102,0.020202020202020204,0.009542007104795736
0.020202020202020204,0.030303030303030304,0.009525725281231497
0.030303030303030304,0.04040404040404041,0.009499082297217288
0.04040404040404041,0.05050505050505051,0.009552664298401422
0.05050505050505051,0.06060606060606061,0.00949271758436945
0.06060606060606061,0.07070707070707072,0.009505387803433985
0.07070707070707072,0.08080808080808081,0.009560361160449971
0.08080808080808081,0.09090909090909091,0.009560035523978685
0.09090909090909091,0.10101010101010102,0.009587181764357609
0.10101010101010102,0.11111111111111112,0.009644138543516874
0.11111111111111112,0.12121212121212122,0.00963922439313203
0.12121212121212122,0.13131313131313133,0.009685375962107756
0.13131313131313133,0.14141414141414144,0.009700799289520426
0.14141414141414144,0.15151515151515152,0.009820811130846653
0.15151515151515152,0.16161616161616163,0.00986299585553582
0.16161616161616163,0.17171717171717174,0.009829840142095916
0.17171717171717174,0.18181818181818182,0.009915275310834814
0.18181818181818182,0.19191919191919193,0.009894582593250443
0.19191919191919193,0.20202020202020204,0.00983499111900533
0.20202020202020204,0.21212121212121213,0.009902397868561279
0.21212121212121213,0.22222222222222224,0.009835731201894612
0.22222222222222224,0.23232323232323235,0.009776998223801065
0.23232323232323235,0.24242424242424243,0.009816518650088809
0.24242424242424243,0.25252525252525254,0.009843309650680877
0.25252525252525254,0.26262626262626265,0.009784191829484902
0.26262626262626265,0.27272727272727276,0.009772972172883362
0.27272727272727276,0.2828282828282829,0.00977750148016578
0.2828282828282829,0.29292929292929293,0.00967862640615749
0.29292929292929293,0.30303030303030304,0.009760716400236827
0.30303030303030304,0.31313131313131315,0.009794760213143874
0.31313131313131315,0.32323232323232326,0.009677383066903494
0.32323232323232326,0.33333333333333337,0.009761634103019539
0.33333333333333337,0.3434343434343435,0.009873978685612789
0.3434343434343435,0.3535353535353536,0.009780698638247484
0.3535353535353536,0.36363636363636365,0.009625014801657785
0.36363636363636365,0.37373737373737376,0.009705002960331556
0.37373737373737376,0.38383838383838387,0.009600414446417998
0.38383838383838387,0.393939393939394,0.009604026050917704
0.393939393939394,0.4040404040404041,0.009645026642984014
0.4040404040404041,0.4141414141414142,0.009609413854351687
0.4141414141414142,0.42424242424242425,0.009619834221432802
0.42424242424242425,0.43434343434343436,0.009779218472468916
0.43434343434343436,0.4444444444444445,0.0098202486678508
0.4444444444444445,0.4545454545454546,0.009671225577264655
0.4545454545454546,0.4646464646464647,0.00965399644760213
0.4646464646464647,0.4747474747474748,0.00974780935464772
0.4747474747474748,0.48484848484848486,0.009757371225577264
0.48484848484848486,0.494949494949495,0.00969538188277087
0.494949494949495,0.5050505050505051,0.009861278863232683
0.5050505050505051,0.5151515151515152,0.009976050917702782
0.5151515151515152,0.5252525252525253,0.010022202486678507
0.5252525252525253,0.5353535353535354,0.010188543516873889
0.5353535353535354,0.5454545454545455,0.010038010657193605
0.5454545454545455,0.5555555555555556,0.010102131438721136
0.5555555555555556,0.5656565656565657,0.010236619301361752
0.5656565656565657,0.5757575757575758,0.010177619893428065
0.5757575757575758,0.5858585858585859,0.01019425695677916
0.5858585858585859,0.595959595959596,0.010206956779159266
0.595959595959596,0.6060606060606061,0.010430224985198341
0.6060606060606061,0.6161616161616162,0.01031566015393724
0.6161616161616162,0.6262626262626263,0.010239431616341029
0.6262626262626263,0.6363636363636365,0.010273593842510361
0.6363636363636365,0.6464646464646465,0.010444612196566016
0.6464646464646465,0.6565656565656566,0.010434103019538187
0.6565656565656566,0.6666666666666667,0.01052513321492007
0.6666666666666667,0.6767676767676768,0.01057137359384251
0.6767676767676768,0.686868686868687,0.010367288336293665
0.686868686868687,0.696969696969697,0.010413883955002961
0.696969696969697,0.7070707070707072,0.010232859680284192
0.7070707070707072,0.7171717171717172,0.010229040852575488
0.7171717171717172,0.7272727272727273,0.010204854943753701
0.7272727272727273,0.7373737373737375,0.010246358792184725
0.7373737373737375,0.7474747474747475,0.010325074008288929
0.7474747474747475,0.7575757575757577,0.010535642391947899
0.7575757575757577,0.7676767676767677,0.010359591474245115
0.7676767676767677,0.7777777777777778,0.010441089402013026
0.7777777777777778,0.787878787878788,0.010383540556542333
0.787878787878788,0.797979797979798,0.010438839550029604
0.797979797979798,0.8080808080808082,0.010416459443457668
0.8080808080808082,0.8181818181818182,0.010712847838957963
0.8181818181818182,0.8282828282828284,0.010689994079336886
0.8282828282828284,0.8383838383838385,0.010645263469508585
0.8383838383838385,0.8484848484848485,0.010564268798105389
0.8484848484848485,0.8585858585858587,0.010686027235050325
0.8585858585858587,0.8686868686868687,0.01091190053285968
0.8686868686868687,0.8787878787878789,0.010748105387803434
0.8787878787878789,0.888888888888889,0.010615452930728242
0.888888888888889,0.8989898989898991,0.010751124925991711
0.8989898989898991,0.9090909090909092,0.010859621077560687
0.9090909090909092,0.9191919191919192,0.010962936648904678
0.9191919191919192,0.9292929292929294,0.011242332741267022
0.9292929292929294,0.9393939393939394,0.011313084665482533
0.9393939393939394,0.9494949494949496,0.011168413262285376
0.9494949494949496,0.9595959595959597,0.011069567791592658
0.9595959595959597,0.9696969696969697,0.010783096506808762
0.9696969696969697,0.9797979797979799,0.010891474245115452
0.9797979797979799,0.98989898989899,0.0106297513321492
0.98989898989899,1.0,0.010348934280639432
