dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std
0.0,0.01,0.02,1.0758584429599178,0.08493205202932387,0.9643726846397825,0.08038207287556606
0.02,0.03,0.04,1.040241790853032,0.07468370680730282,1.1345190711372906,0.07792824696067226
0.04,0.05,0.06,1.156147995889003,0.08045533241554864,1.0873624082464883,0.06945332943104526
0.06,0.07,0.08,1.1415625102774922,0.07477831705280286,1.1174417965564116,0.07452682372917042
0.08,0.09,0.1,1.1143660354573486,0.0739555507610266,1.0855211123697326,0.07004732450913283
0.1,0.11,0.12,1.0554876567317575,0.06918880428919395,1.0160571341187132,0.06664817569352711
0.12,0.13,0.14,0.9737326207605346,0.06548447883865505,1.0815239669234256,0.06885746031367182
0.14,0.15000000000000002,0.16,1.0035358247687562,0.07313344302063515,1.1415548572723153,0.07031818484520262
0.16,0.16999999999999998,0.18,0.9516956706063722,0.06892410599544184,1.0964596669687359,0.07298790115526306
0.18,0.19,0.2,1.0843766726618707,0.07920122140922875,0.9083117965564113,0.06326882932375456
0.2,0.21000000000000002,0.22,1.0532998406988692,0.06886829029887259,0.9686902174898051,0.06904881977518947
0.22,0.22999999999999998,0.24,1.0464523484069888,0.07305842845000116,1.103384272768464,0.07617694149735967
0.24,0.25,0.26,0.9166202517985611,0.06319454183758073,1.168224234254644,0.08487609961214004
0.26,0.27,0.28,1.0612250513874615,0.07517263502104989,0.9795058880833712,0.06947135982674012
0.28,0.29000000000000004,0.3,1.0220285842754366,0.0685552465773158,1.0343183280471229,0.06861509919432549
0.3,0.31,0.32,1.0044224845837617,0.06979557367593245,1.0822171522428636,0.07333315453145385
0.32,0.33,0.34,1.0732020323741007,0.0729357430613224,1.0180055278658813,0.068879007898769
0.34,0.35,0.36,1.0216262487153136,0.06899102787223922,1.0106726370638877,0.0714373072174305
0.36,0.37,0.38,0.9892502004110996,0.07070476499655444,0.9961538627095605,0.06922559626370096
0.38,0.39,0.4,1.1080520529290854,0.07611210164006393,0.9827071613049388,0.07301394434378766
0.4,0.41000000000000003,0.42,0.9940284146968139,0.0727986813172754,0.9519207498867241,0.07025048866469887
0.42,0.43,0.44,1.087404964028777,0.08223675708165881,1.1075192795650204,0.08034730619214318
0.44,0.45,0.46,0.9540629110996917,0.0626444236318908,0.9852888060715903,0.0711251202256681
0.46,0.47,0.48,1.0605390724563206,0.07399640464309691,1.0960721046669688,0.07827338170053408
0.48,0.49,0.5,1.0344814953751285,0.07386552193934949,1.0103054553692794,0.07222420616139401
0.5,0.51,0.52,1.0165804804727645,0.07374356543407716,1.0031869936565472,0.06933942848514268
0.52,0.53,0.54,1.0002666418293937,0.07003459528455164,0.9738075419120978,0.07390638700419165
0.54,0.55,0.56,1.0459034378211716,0.07850386841810264,0.9114728251019484,0.0701122224158857
0.56,0.5700000000000001,0.58,1.0854432631038027,0.07971791400026418,1.072703210240145,0.07987665262315605
0.58,0.59,0.6,1.0833575,0.08030395293368688,0.9364341436338923,0.06945207566848563
0.6,0.61,0.62,1.015170154162384,0.07656749877906713,0.9212145582238331,0.07580724497021732
0.62,0.63,0.64,0.947413134635149,0.07319548840497955,1.0357419120978701,0.07923090957786491
0.64,0.65,0.66,0.8650489362795477,0.07249033907147084,1.001448556864522,0.07396777099729397
0.66,0.67,0.68,0.8577107297019526,0.06829022945402324,0.9740617036701404,0.07198617040417692
0.68,0.6900000000000001,0.7000000000000001,0.8074629573484069,0.06863496297964139,0.956005138196647,0.07867249254492292
0.7000000000000001,0.71,0.72,0.8413312795477903,0.0754016323912252,1.019207666515632,0.08281180737016657
0.72,0.73,0.74,0.8111751079136692,0.07037266223995169,0.8947309696420479,0.07392331111991211
0.74,0.75,0.76,0.8648656731757449,0.07769633133161996,0.9881942229270503,0.08097229552112162
0.76,0.77,0.78,0.7534223946557039,0.06563435762596957,0.9695900657000452,0.08201493333872047
0.78,0.79,0.8,0.924871405447071,0.08633446712208281,0.8984370706841869,0.07361293015200641
0.8,0.81,0.8200000000000001,0.8909985739979445,0.0762546473663002,0.9517008382419576,0.07904134531936916
0.8200000000000001,0.8300000000000001,0.84,0.9899304830421375,0.08263173050608927,0.9532053352967831,0.07953010754968062
0.84,0.85,0.86,0.9520728031860224,0.07682878317158104,1.1724480425917534,0.09089961187353474
0.86,0.87,0.88,1.0608009378211716,0.09137460104648425,0.9027972134118715,0.07879030212588078
0.88,0.89,0.9,1.0602826721479959,0.09240294261693219,0.8900564091526959,0.08089183965018329
0.9,0.91,0.92,1.0124180061664954,0.09064445885077042,0.9561102718622564,0.08675895388045968
0.92,0.93,0.9400000000000001,1.0859826284686536,0.09400968033812618,0.8490757023108291,0.08177721274348816
0.9400000000000001,0.95,0.96,0.9399175102774924,0.09310545206004377,0.8450779361123696,0.08409710746205297
0.96,0.97,0.98,0.9715692934224048,0.09860761890096814,0.8545716946080653,0.08596423534467522
0.98,0.99,1.0,1.0938649357656733,0.11520278348673642,0.9434014793837789,0.09769352918319997
