dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std,g_spiral_mean,g_spiral_std,g_elliptic_mean,g_elliptic_std
0.0,0.01,0.02,0.9993125826735548,0.0015665982242295759,0.9972491786892781,0.001486799347862067,0.9986314135324905,0.0013759762703580171,0.997642110365229,0.0016834117004184018
0.02,0.03,0.04,1.0003390329858521,0.0015370602348816404,0.9994153576565177,0.0015400868322073802,1.000063470002804,0.0014180058040703563,0.9996238961040167,0.0016713450589062213
0.04,0.05,0.06,0.9994026262177497,0.001635366629693952,0.998699131299401,0.0015329520189654923,1.0006066121113906,0.0014658086269533168,0.9968739205693221,0.0017090362491066493
0.06,0.07,0.08,0.9978122106215767,0.0016099070936292617,1.003425503554433,0.0015957244331461274,1.0005148925785003,0.0014241750600585315,1.0011015969993171,0.00168673273024596
0.08,0.09,0.1,1.0014022731936636,0.0016175466204515609,0.9968226232408015,0.0014913788749336852,1.0000825677007703,0.0015008857622633984,0.997548307694866,0.0016545403416329588
0.1,0.11,0.12,1.000105419070031,0.0016460362946836404,1.0006116728306274,0.001533384887950497,1.0009718257256854,0.001412444854540634,0.9997701359013228,0.0016698200089398365
0.12,0.13,0.14,1.001330053137085,0.001611669651695894,1.0011980421168523,0.0014958596108262698,1.0017607528572234,0.0014710871513064488,1.0004119872082868,0.0016590607366416454
0.14,0.15000000000000002,0.16,0.9997751503406141,0.0016131841898129585,1.0010027359643536,0.001452904398974293,1.0008624835585078,0.0013951281923426687,0.9998668096500145,0.001643749212248672
0.16,0.16999999999999998,0.18,1.0023155476755132,0.0015293113117603905,1.0001269360341114,0.0015853583956192058,1.0004538755379657,0.001454221222075747,1.0019076867264671,0.0017019700342567165
0.18,0.19,0.2,1.0006846725355965,0.0015484930628238084,0.999838849939139,0.0014844939597720864,0.9994712836850861,0.0014263468190508564,1.001310220599718,0.0016943868952851182
0.2,0.21000000000000002,0.22,1.0015822603586464,0.0015759335642270991,1.0018861640665657,0.0015401564557146672,1.0014121442751496,0.001457948287252185,1.002261186503288,0.0016428756569017615
0.22,0.22999999999999998,0.24,0.9980257374853053,0.001594423083629508,1.0002932353316896,0.001413505004011115,0.997634674475337,0.0014394388628231117,1.0013819208882064,0.0015771509159983274
0.24,0.25,0.26,1.0001734021830933,0.0015229891635199437,1.0008955309427627,0.0015502438615553062,1.000137072804522,0.0014067664494904022,1.0010356734925032,0.001659281742869942
0.26,0.27,0.28,0.9977287200782378,0.0015661460499356641,1.00091328879263,0.0015052558090642388,0.9990454622700752,0.0015080028130122802,1.0001227041817846,0.0016874831282285526
0.28,0.29000000000000004,0.3,1.000875793379991,0.0016136923715668419,1.0004526477391755,0.0015048713555375168,0.9999803207233396,0.001404381176505808,1.0016016917777897,0.0016406339715246332
0.3,0.31,0.32,0.9981308283708208,0.001622168226589024,1.00059873602086,0.0014990799268682295,1.0001880444225097,0.0014613370327228035,0.99838174637413,0.0016305363030696776
0.32,0.33,0.34,0.9994771685383608,0.0015832281484480866,1.0023824235259946,0.0015090759053040866,1.0008509006693334,0.0013910567337402273,1.001111680349801,0.0017003096878501348
0.34,0.35,0.36,1.001673682178499,0.0016372387768483667,1.0048555926272302,0.0014942839673618364,1.00225234758793,0.0014454735801485421,1.0047228228517862,0.001630612322356291
0.36,0.37,0.38,1.0020503498617301,0.0015666020069753615,0.9985908192690579,0.001480669059932549,1.0006187424978632,0.0014649669110313114,0.9997559960008373,0.0016162148334618377
0.38,0.39,0.4,0.999227670263102,0.0016017341713650205,0.996671896580006,0.0014970422579451228,0.9997169718575633,0.001376303880789482,0.9954202933236477,0.0016615194505022026
0.4,0.41000000000000003,0.42,1.0002541790482498,0.0015867454921310424,1.0026121583495025,0.0015162303328914415,1.0009260415345103,0.0014594110372562925,1.00230680803421,0.0016709223374137322
0.42,0.43,0.44,0.9995029980351317,0.0015748234766936719,1.0009382611967577,0.001511376838413315,0.9992804826413694,0.001434792260143846,1.001534215687184,0.00167597855915951
0.44,0.45,0.46,0.9998258365983947,0.0016677879083567813,0.9980839353382542,0.0014931687338377985,0.9995392588239974,0.0014393574790496266,0.997974237563035,0.0016866946872413245
0.46,0.47,0.48,1.0007660512124301,0.001496671077859356,0.998020868033339,0.0015087194397638481,1.0003866422166239,0.0013456744808324054,0.9978722690130596,0.0016106563036297399
0.48,0.49,0.5,0.9995003691696344,0.0016063614695190347,0.9987658404675982,0.0014604956020181727,0.9991251629985953,0.0013892000340330474,0.9991075336188646,0.0017317023122446643
0.5,0.51,0.52,0.9994546525803801,0.0015750670379338404,1.002008693475826,0.0014849680047264967,1.0011772561567935,0.0014120352549979688,1.000203549172868,0.0016376306760677933
0.52,0.53,0.54,0.9979603978948328,0.0015356536756376867,0.9999347495508492,0.0014289382436233986,0.9981595362512885,0.0014327044812975011,1.0002464541074245,0.001598964815501648
0.54,0.55,0.56,1.000768950957184,0.0016023712813630613,0.9989174259050272,0.0015641030663795417,1.0003638971385014,0.0014659823416411108,0.998993229094715,0.0017057586142550792
0.56,0.5700000000000001,0.58,1.0009535249304733,0.0015667323297710199,1.002377674357608,0.001494400207966793,1.0013201170122368,0.0013745517775509489,1.0021073952893367,0.0017291597235491417
0.58,0.59,0.6,0.9989783734616844,0.0016074034502278531,1.0015473913598871,0.0014919644503763247,0.9985300112578354,0.0014090064407511736,1.0025220103639505,0.0016364871183892672
0.6,0.61,0.62,0.9996273922269937,0.001613799279963706,1.0005357601204152,0.0015063388095007209,0.9990077736729743,0.0014260198777671079,1.0016620431235574,0.001723456247548253
