0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
15518.0,14721.0,17337.0,14678.0,13765.0,14814.0,16891.0,13116.0,15476.0,12563.0,13502.0,12511.0,13612.0,13127.0,13511.0,12676.0,13207.0,14194.0,13654.0,14496.0,13849.0,14486.0,14566.0,15693.0,17505.0,20341.0,22809.0,20587.0,24116.0,22552.0,23280.0,27003.0,23524.0,20128.0,18944.0,16411.0,19430.0,20178.0,22444.0,22519.0,19482.0,12786.0,13925.0,33606.0,15031.0,15109.0,15968.0,17511.0,14399.0,15643.0,12741.0,17061.0,15126.0,14422.0,12477.0,12513.0,21465.0,10950.0,7402.0,7319.0,7260.0,9048.0,8950.0,11926.0,24035.0,12570.0,12692.0,15848.0,15759.0,17362.0,14594.0,13696.0,17114.0,14069.0,19254.0,21349.0,15864.0,13595.0,9685.0,17447.0,14406.0,9988.0,12762.0,15841.0,11484.0,12527.0,12108.0,11541.0,12275.0,16436.0,19194.0,21832.0,14496.0,15248.0,10904.0,13828.0,17081.0,24953.0,16176.0,16133.0
111849.0,109398.0,116665.0,118725.0,115601.0,162936.0,131369.0,125440.0,146268.0,141116.0,134367.0,138279.0,143141.0,123965.0,128862.0,126020.0,139543.0,140477.0,139546.0,144691.0,139962.0,138957.0,148404.0,132886.0,122518.0,114646.0,114117.0,115419.0,122111.0,126459.0,125456.0,128253.0,117384.0,115152.0,126682.0,118957.0,109224.0,123672.0,126044.0,121672.0,121717.0,112937.0,114237.0,113586.0,117814.0,110672.0,111447.0,126459.0,135832.0,122513.0,133283.0,132951.0,129983.0,133564.0,129035.0,126908.0,138137.0,138104.0,149196.0,121904.0,111039.0,116093.0,119469.0,126272.0,105901.0,110013.0,128389.0,128485.0,103605.0,103462.0,102653.0,97011.0,97021.0,88915.0,97675.0,110147.0,105564.0,108254.0,115775.0,97835.0,122120.0,117066.0,139297.0,119592.0,118756.0,131359.0,120952.0,120101.0,116657.0,105345.0,120589.0,152882.0,127538.0,107223.0,130286.0,98446.0,102075.0,125265.0,119155.0,145206.0
156387.0,157301.0,168560.0,171706.0,168259.0,149846.0,153384.0,159980.0,154096.0,131338.0,130093.0,133234.0,135178.0,131296.0,143596.0,154626.0,138371.0,147098.0,156999.0,135319.0,143717.0,143353.0,164379.0,140569.0,127465.0,127045.0,138949.0,157429.0,154150.0,146738.0,149725.0,133066.0,139992.0,140099.0,142929.0,147422.0,147679.0,142869.0,153620.0,155904.0,145828.0,159720.0,152496.0,179939.0,139935.0,135298.0,136931.0,156402.0,147018.0,148625.0,149337.0,136010.0,149116.0,138435.0,140413.0,144480.0,134526.0,151492.0,147159.0,150784.0,154336.0,133698.0,127088.0,114921.0,108381.0,113766.0,96783.0,117538.0,126678.0,126789.0,131055.0,127989.0,117374.0,120644.0,114686.0,111179.0,107705.0,134882.0,125764.0,133590.0,98733.0,93022.0,110812.0,112101.0,107108.0,125315.0,134399.0,118941.0,147694.0,174429.0,135275.0,129416.0,123220.0,130282.0,126649.0,133202.0,127606.0,127422.0,118829.0,122989.0
71765.0,83489.0,70346.0,76564.0,82920.0,72829.0,68382.0,75301.0,93081.0,81627.0,84762.0,96383.0,82040.0,79948.0,81325.0,81654.0,78492.0,64906.0,64313.0,65010.0,61637.0,69360.0,68031.0,68800.0,69409.0,69370.0,77092.0,93028.0,77332.0,77793.0,75243.0,72182.0,73292.0,76701.0,72944.0,70531.0,74314.0,85365.0,77951.0,78159.0,82124.0,67310.0,67907.0,82362.0,63344.0,81155.0,82747.0,91877.0,73825.0,77569.0,66033.0,65497.0,66543.0,65383.0,90067.0,74773.0,71633.0,77041.0,71243.0,71956.0,72839.0,72710.0,70803.0,67281.0,55667.0,65950.0,64822.0,65918.0,60560.0,61307.0,80805.0,60793.0,53940.0,63210.0,68536.0,70141.0,60571.0,63216.0,77423.0,66935.0,62661.0,65016.0,67574.0,66684.0,75335.0,84255.0,95037.0,75211.0,82314.0,76328.0,76381.0,68932.0,72989.0,79290.0,78252.0,84865.0,89628.0,110031.0,117458.0,94272.0
36475.0,35246.0,38083.0,52797.0,54937.0,46703.0,46758.0,43632.0,53106.0,45568.0,39874.0,37572.0,36693.0,33428.0,39406.0,36931.0,33402.0,34668.0,40097.0,35954.0,45036.0,33551.0,31320.0,35475.0,34059.0,42575.0,41553.0,35330.0,38530.0,35566.0,38279.0,38244.0,41737.0,55087.0,43091.0,40854.0,36679.0,36350.0,40928.0,33496.0,35523.0,33994.0,33913.0,35036.0,39003.0,42440.0,35613.0,37219.0,43711.0,45269.0,46802.0,43241.0,49712.0,49309.0,44226.0,40656.0,40281.0,41249.0,42078.0,38187.0,37240.0,38846.0,39551.0,35985.0,35693.0,34855.0,37582.0,35878.0,34097.0,28998.0,27218.0,26303.0,30840.0,42407.0,28984.0,25222.0,24306.0,20551.0,21840.0,23476.0,35152.0,32958.0,33029.0,43529.0,50867.0,43946.0,46917.0,50448.0,46816.0,37034.0,37808.0,32506.0,36071.0,46013.0,53725.0,56743.0,29635.0,25351.0,26946.0,28102.0
101152.0,115019.0,112086.0,105599.0,98310.0,110839.0,99982.0,96577.0,105575.0,90803.0,96932.0,102420.0,96936.0,94963.0,101957.0,102150.0,105951.0,107090.0,102712.0,99085.0,102096.0,100474.0,97150.0,112234.0,97935.0,94672.0,90652.0,96542.0,100056.0,101657.0,91090.0,92151.0,91250.0,84168.0,81761.0,83808.0,81774.0,86788.0,104601.0,94655.0,93820.0,97235.0,89861.0,85671.0,88781.0,89672.0,92129.0,93090.0,102940.0,93063.0,95295.0,88431.0,98511.0,99467.0,101575.0,101036.0,91502.0,104811.0,101806.0,98084.0,110367.0,114149.0,117022.0,103807.0,107773.0,113555.0,106309.0,94108.0,98264.0,108670.0,111702.0,105916.0,85372.0,94277.0,86183.0,97846.0,83181.0,87203.0,83716.0,74706.0,81075.0,94642.0,84616.0,88399.0,83805.0,91235.0,77917.0,94761.0,95017.0,77101.0,76982.0,78575.0,63938.0,70903.0,68908.0,90647.0,99790.0,86062.0,100244.0,92825.0
96805.0,100418.0,101076.0,91333.0,90742.0,87646.0,79189.0,88421.0,77814.0,76779.0,76999.0,79978.0,78421.0,80589.0,85511.0,75416.0,68294.0,77336.0,73620.0,67279.0,83254.0,87420.0,90743.0,90158.0,87655.0,95488.0,80862.0,82943.0,83891.0,83482.0,94940.0,95796.0,81809.0,89086.0,84676.0,82421.0,91170.0,82961.0,69732.0,74910.0,81603.0,75029.0,72607.0,86443.0,69844.0,89469.0,89644.0,75696.0,69719.0,69900.0,66930.0,78649.0,73307.0,78209.0,81726.0,73794.0,83239.0,73903.0,70077.0,61359.0,59840.0,63946.0,63155.0,61338.0,58082.0,74214.0,79060.0,69050.0,66723.0,70313.0,70586.0,73425.0,66133.0,67080.0,73247.0,70207.0,76597.0,78021.0,63427.0,70749.0,78724.0,75411.0,80581.0,83093.0,94339.0,82452.0,56084.0,54729.0,71486.0,74795.0,76696.0,68932.0,86576.0,82003.0,67864.0,70524.0,62171.0,46050.0,51503.0,52584.0
55982.0,62825.0,65500.0,76787.0,79020.0,61564.0,61165.0,60881.0,57171.0,68305.0,59012.0,57949.0,57785.0,62771.0,60783.0,63862.0,72845.0,59164.0,57227.0,59758.0,60508.0,62197.0,59826.0,61776.0,60104.0,64869.0,64686.0,60098.0,60305.0,62857.0,68770.0,68401.0,72265.0,78079.0,70305.0,74460.0,78087.0,71579.0,67224.0,70042.0,69166.0,68934.0,58811.0,64428.0,58635.0,58648.0,54527.0,56938.0,64005.0,60594.0,59357.0,62206.0,56074.0,58938.0,59541.0,54263.0,51557.0,49230.0,53230.0,53972.0,60623.0,60493.0,58634.0,55454.0,48487.0,48858.0,49153.0,51959.0,53053.0,51783.0,56227.0,64244.0,64595.0,71197.0,52985.0,58433.0,47658.0,50583.0,53405.0,46000.0,52768.0,49166.0,48372.0,49717.0,55271.0,51689.0,50214.0,51247.0,47076.0,45121.0,53140.0,53988.0,51203.0,56388.0,69065.0,49278.0,59198.0,61232.0,55857.0,56338.0
56271.0,49321.0,53699.0,56606.0,50917.0,53365.0,49419.0,49727.0,49836.0,50297.0,53699.0,50910.0,46863.0,50784.0,54033.0,55039.0,54178.0,51535.0,48616.0,46654.0,50246.0,55887.0,58972.0,44147.0,62475.0,50460.0,39853.0,42163.0,40734.0,44080.0,39175.0,40692.0,41781.0,43482.0,42407.0,48024.0,50294.0,45156.0,38363.0,39811.0,41496.0,41435.0,40333.0,38717.0,37436.0,37641.0,37372.0,38481.0,38308.0,40017.0,36167.0,35313.0,35209.0,34661.0,36472.0,36202.0,45218.0,48075.0,42113.0,36608.0,36070.0,35270.0,34020.0,33154.0,34653.0,39209.0,43653.0,42123.0,44628.0,39988.0,41461.0,45330.0,39248.0,37860.0,32872.0,32263.0,36557.0,38590.0,39028.0,39424.0,37850.0,33551.0,42520.0,42554.0,45965.0,35562.0,42590.0,35374.0,46915.0,42532.0,41181.0,43339.0,38120.0,33728.0,30600.0,34746.0,44180.0,43919.0,37998.0,54130.0
43616.0,36156.0,48658.0,38512.0,36708.0,38914.0,39230.0,37442.0,39737.0,39205.0,42206.0,39035.0,40270.0,40115.0,40262.0,52709.0,44603.0,36078.0,41147.0,38399.0,41735.0,39144.0,42933.0,43300.0,46020.0,43458.0,44940.0,45006.0,44191.0,45087.0,42394.0,36959.0,38291.0,34138.0,34483.0,33548.0,36883.0,34896.0,44361.0,36657.0,40243.0,40067.0,38840.0,45397.0,39193.0,37640.0,39775.0,38246.0,42892.0,44050.0,40097.0,43888.0,40914.0,44467.0,30309.0,30968.0,29779.0,28744.0,31595.0,37033.0,36572.0,39216.0,37192.0,31767.0,29470.0,26909.0,24948.0,26961.0,26717.0,23735.0,24086.0,24643.0,27299.0,24929.0,29860.0,30616.0,36388.0,31103.0,35311.0,30104.0,31397.0,33703.0,31078.0,34080.0,32613.0,37017.0,35529.0,30821.0,32716.0,31011.0,36741.0,34350.0,25848.0,28496.0,26591.0,37003.0,35391.0,25554.0,19057.0,17615.0
