dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std,g_spiral_mean,g_spiral_std,g_elliptic_mean,g_elliptic_std
0.0,0.01,0.02,1.0900877209660842,0.062088777687764204,1.2270206298142274,0.06251315986208708,1.1414302925084177,0.05828376440192536,1.184563449634215,0.06199990789013935
0.02,0.03,0.04,1.0766691700924975,0.055490224918609415,1.2476379746261896,0.057611904534409605,1.123266332070707,0.05071777183406825,1.2210154051772653,0.0630203125051593
0.04,0.05,0.06,1.0945623124357657,0.057503323165184445,1.2425085795197102,0.05777709482548684,1.14994243476431,0.054236214225122766,1.2048274817107485,0.06032909802917206
0.06,0.07,0.08,1.1018994861253852,0.05819507382221837,1.1575972405980968,0.04748579086828879,1.160673293350168,0.053618393470345034,1.1016396285875067,0.05027241376308271
0.08,0.09,0.1,1.0734669244604316,0.05105353400887986,1.1713897757136382,0.046381017585317354,1.1350832870370369,0.046631761993130856,1.1130738013505908,0.05001159845282256
0.1,0.11,0.12,1.046876426002056,0.046025822333743575,1.1516811916628913,0.04128807615707746,1.1237113047138052,0.042881300669345694,1.0718554924029267,0.0405275807383768
0.12,0.13,0.14,1.0624907656731748,0.044827751052182334,1.174001603987312,0.0440441278962826,1.1375738236531976,0.04451522839894463,1.0986596933033193,0.041817702397022025
0.14,0.15000000000000002,0.16,1.0979058119218916,0.04983817970138941,1.1618385999093799,0.04225757708691791,1.1587668918350174,0.04334497269726173,1.096086713562184,0.04608380985757206
0.16,0.16999999999999998,0.18,1.107462756937308,0.05149101379912493,1.1285319030357959,0.041052029430231625,1.169010456649832,0.04501321498958791,1.0468541586944293,0.04351787379116524
0.18,0.19,0.2,1.0710795477903383,0.045434053560537944,1.055187734481195,0.03156598240553702,1.11709229587542,0.038434730311591135,0.9925352335396728,0.03845628305369598
