0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10667.0,10609.0,11804.0,13664.0,12870.0,13135.0,13512.0,12476.0,12585.0,12269.0,12208.0,11494.0,11051.0,12202.0,12732.0,12420.0,15565.0,12761.0,15855.0,15414.0,17283.0,15871.0,20007.0,19666.0,20664.0,23773.0,23264.0,22637.0,22474.0,23658.0,23214.0,24836.0,24932.0,22498.0,44006.0,21198.0,14139.0,12945.0,12922.0,11677.0,11685.0,13230.0,16733.0,15794.0,24332.0,13584.0,12612.0,16016.0,18110.0,14987.0,14010.0,13695.0,19922.0,17006.0,19498.0,19891.0,19363.0,17120.0,18547.0,20060.0,17744.0,19069.0,18316.0,19156.0,15889.0,16400.0,18523.0,18474.0,19306.0,23757.0,14031.0,12243.0,10905.0,10552.0,10818.0,12781.0,19167.0,12563.0,19021.0,20035.0,16836.0,12456.0,13165.0,12599.0,16715.0,11165.0,10952.0,9825.0,12144.0,11953.0,8492.0,9403.0,11983.0,5084.0,5723.0,8182.0,16577.0,21304.0,13829.0,9711.0
134600.0,154426.0,149428.0,128226.0,133838.0,128206.0,126625.0,128092.0,130405.0,124349.0,122016.0,130747.0,128905.0,141763.0,145867.0,150300.0,139902.0,146189.0,138693.0,129317.0,130780.0,136289.0,135600.0,131503.0,128497.0,139366.0,130926.0,132008.0,129817.0,139239.0,138662.0,141601.0,141189.0,133833.0,128454.0,129018.0,131414.0,130713.0,134152.0,133801.0,131322.0,130935.0,153734.0,120161.0,122179.0,122759.0,119392.0,130937.0,122909.0,118696.0,117653.0,125669.0,132276.0,127460.0,128059.0,115515.0,122087.0,112769.0,116794.0,120465.0,119367.0,114665.0,100073.0,101436.0,119855.0,114534.0,115355.0,112544.0,102440.0,109455.0,110436.0,100236.0,103779.0,119742.0,111360.0,118042.0,104959.0,102849.0,110378.0,110556.0,112534.0,100166.0,104250.0,98226.0,106654.0,115554.0,105240.0,94740.0,108374.0,113287.0,106677.0,116364.0,119988.0,128525.0,117032.0,118926.0,94935.0,102780.0,115860.0,97300.0
160154.0,175593.0,157746.0,161412.0,137898.0,132899.0,135287.0,138713.0,145123.0,145968.0,147344.0,141926.0,140131.0,137724.0,138918.0,135249.0,146082.0,136151.0,140326.0,145787.0,131199.0,131430.0,138342.0,135990.0,136520.0,142951.0,138504.0,129206.0,131604.0,130216.0,122733.0,129286.0,145527.0,151753.0,138335.0,144514.0,137645.0,153917.0,144399.0,131686.0,146484.0,150725.0,144707.0,145890.0,137997.0,155055.0,141860.0,142464.0,144617.0,144367.0,145453.0,155898.0,159569.0,165251.0,144062.0,140751.0,142286.0,141948.0,144587.0,139426.0,139445.0,166391.0,149127.0,142726.0,128089.0,125573.0,131942.0,129584.0,143040.0,131434.0,131703.0,134896.0,134783.0,129542.0,125209.0,141335.0,138795.0,115455.0,122819.0,131383.0,125171.0,143813.0,115298.0,108786.0,109822.0,130651.0,115056.0,121259.0,128311.0,111133.0,123809.0,126417.0,132671.0,129074.0,147955.0,121766.0,127565.0,137555.0,121875.0,109157.0
82231.0,80035.0,86505.0,79494.0,81478.0,80205.0,84758.0,78815.0,78111.0,80809.0,78419.0,75356.0,76582.0,71070.0,74529.0,71837.0,70847.0,70234.0,71409.0,73324.0,75900.0,74502.0,81072.0,79757.0,84817.0,67935.0,69749.0,75489.0,74313.0,76682.0,69323.0,71215.0,76690.0,71236.0,71923.0,79615.0,62200.0,70844.0,64426.0,64140.0,70211.0,82219.0,77096.0,66546.0,70321.0,63821.0,74774.0,74243.0,71215.0,67029.0,55138.0,62967.0,58251.0,64262.0,69806.0,63628.0,62385.0,61017.0,67603.0,69089.0,72257.0,78124.0,79366.0,80343.0,84351.0,100006.0,78828.0,77023.0,78870.0,88386.0,91497.0,89948.0,78463.0,83839.0,85134.0,73176.0,80433.0,94688.0,84480.0,88800.0,87778.0,86645.0,70777.0,78072.0,71652.0,67368.0,66472.0,64668.0,76080.0,72899.0,79746.0,93087.0,69005.0,67409.0,76325.0,73320.0,55418.0,59836.0,74070.0,61864.0
38497.0,38535.0,44052.0,44337.0,43748.0,47115.0,45435.0,43683.0,43863.0,46037.0,43847.0,43355.0,46316.0,43783.0,42754.0,44080.0,43020.0,43143.0,43369.0,44674.0,47178.0,41051.0,46424.0,44660.0,42175.0,43796.0,46587.0,35758.0,38317.0,38539.0,40544.0,40056.0,41748.0,41431.0,46121.0,39606.0,37467.0,38478.0,37555.0,40204.0,34435.0,39706.0,36996.0,37085.0,34254.0,34187.0,35227.0,31479.0,28619.0,30499.0,38798.0,29667.0,34925.0,32852.0,32109.0,32599.0,36256.0,32499.0,37113.0,47862.0,38706.0,40468.0,39113.0,36376.0,29327.0,32863.0,35536.0,39343.0,43650.0,37850.0,33984.0,34717.0,39084.0,36763.0,37040.0,36998.0,34094.0,29501.0,29594.0,28105.0,35269.0,31731.0,29938.0,32629.0,28021.0,30146.0,46312.0,33501.0,29116.0,32891.0,36608.0,39478.0,31951.0,37170.0,42962.0,44616.0,44504.0,44220.0,37401.0,39919.0
96468.0,101153.0,101197.0,103118.0,109829.0,108685.0,95888.0,90586.0,112621.0,103662.0,99886.0,106115.0,98636.0,130631.0,104572.0,112737.0,116681.0,119375.0,102883.0,106039.0,107716.0,113899.0,112045.0,103612.0,104319.0,98631.0,102536.0,96484.0,102542.0,111400.0,98832.0,100183.0,94242.0,93283.0,96598.0,101076.0,104875.0,100532.0,108041.0,102294.0,103567.0,100284.0,98872.0,91333.0,99264.0,101260.0,91264.0,93349.0,101053.0,104315.0,90364.0,82209.0,80948.0,91410.0,88060.0,89950.0,82661.0,74841.0,80229.0,87237.0,82278.0,89669.0,99179.0,82738.0,96501.0,100119.0,99689.0,107503.0,92137.0,100366.0,83571.0,96450.0,112089.0,98862.0,88142.0,92922.0,84381.0,84732.0,101400.0,99995.0,90535.0,79194.0,80446.0,83316.0,91651.0,84424.0,82107.0,80465.0,83605.0,68582.0,72011.0,88140.0,88557.0,84649.0,83220.0,71301.0,82089.0,68454.0,56617.0,101542.0
74674.0,78551.0,80353.0,70517.0,71277.0,77721.0,72100.0,83933.0,84104.0,77607.0,86543.0,81043.0,81838.0,82819.0,79401.0,78747.0,88412.0,94046.0,81510.0,76409.0,82552.0,81468.0,69722.0,77432.0,73553.0,78347.0,84483.0,73076.0,76287.0,68421.0,74049.0,73281.0,81484.0,77291.0,72031.0,79376.0,69731.0,73779.0,69520.0,72491.0,83399.0,79262.0,93910.0,88734.0,87966.0,92608.0,91372.0,80696.0,81191.0,81459.0,84329.0,80830.0,82274.0,79363.0,77585.0,83210.0,76467.0,91487.0,92426.0,91113.0,85054.0,92844.0,96347.0,78769.0,77422.0,71755.0,70887.0,62628.0,74885.0,67533.0,67709.0,72431.0,71800.0,62455.0,78376.0,71418.0,76715.0,69106.0,58911.0,67141.0,51656.0,53770.0,65107.0,79717.0,63224.0,66408.0,76916.0,73690.0,69165.0,71145.0,78233.0,69558.0,70811.0,79407.0,77668.0,85773.0,77533.0,69647.0,50381.0,66345.0
61779.0,63631.0,69422.0,60127.0,63536.0,58919.0,54303.0,54338.0,57610.0,58704.0,60206.0,60600.0,52830.0,57980.0,55082.0,50662.0,55861.0,53124.0,54668.0,47981.0,51784.0,55202.0,50046.0,50854.0,50126.0,51398.0,52116.0,53595.0,54076.0,61296.0,54874.0,53586.0,59474.0,61806.0,63830.0,74856.0,65499.0,72601.0,58527.0,66030.0,63215.0,66617.0,69904.0,68844.0,75506.0,65582.0,71174.0,68501.0,62121.0,55123.0,55388.0,60661.0,60672.0,57277.0,54101.0,53665.0,50675.0,57396.0,56666.0,49880.0,58086.0,58492.0,60636.0,66077.0,62389.0,48732.0,56400.0,53645.0,50819.0,50357.0,53023.0,61558.0,52697.0,56600.0,61948.0,61592.0,64143.0,58334.0,74893.0,66934.0,59522.0,59720.0,58963.0,67650.0,57731.0,59742.0,55508.0,45041.0,46419.0,57627.0,50779.0,62349.0,61685.0,76537.0,68483.0,59956.0,51644.0,66033.0,72998.0,88351.0
47805.0,38226.0,49723.0,39480.0,36951.0,41120.0,37769.0,41319.0,43326.0,40182.0,45902.0,59670.0,41655.0,48660.0,44449.0,40803.0,40950.0,40798.0,37324.0,41245.0,41854.0,46260.0,48543.0,48526.0,53379.0,44938.0,43992.0,41893.0,43475.0,40147.0,39346.0,41681.0,39176.0,38295.0,35312.0,40216.0,34433.0,42749.0,39332.0,42381.0,47627.0,45500.0,39203.0,40525.0,42568.0,39991.0,40270.0,42875.0,40659.0,45910.0,36364.0,32928.0,46690.0,43239.0,37923.0,40032.0,41061.0,46130.0,48529.0,56315.0,48964.0,43427.0,47854.0,46842.0,40296.0,39437.0,45154.0,43485.0,47166.0,45432.0,52944.0,46317.0,41085.0,37874.0,41316.0,47166.0,54713.0,33575.0,35714.0,41245.0,42424.0,44754.0,49310.0,59308.0,46640.0,48682.0,45477.0,41776.0,40168.0,42851.0,40288.0,48280.0,54826.0,41745.0,42096.0,36550.0,31910.0,39247.0,43484.0,22554.0
41608.0,42466.0,41609.0,29101.0,30837.0,32014.0,34853.0,43744.0,38446.0,44124.0,42572.0,47340.0,39649.0,39178.0,45218.0,44840.0,48994.0,40636.0,39836.0,32695.0,36288.0,46235.0,37332.0,40421.0,44960.0,37239.0,35018.0,38991.0,33713.0,33932.0,39885.0,35982.0,36547.0,29397.0,30681.0,32179.0,36054.0,41779.0,33132.0,35017.0,34495.0,33060.0,31181.0,35495.0,30764.0,32803.0,33464.0,31481.0,30831.0,27490.0,28991.0,26737.0,29947.0,32231.0,35483.0,31847.0,30721.0,31956.0,33597.0,37368.0,31592.0,33104.0,33808.0,34220.0,39484.0,40076.0,43182.0,44352.0,41237.0,40382.0,37187.0,32539.0,35604.0,39651.0,39897.0,41505.0,39210.0,38039.0,43749.0,34748.0,37197.0,37226.0,39298.0,38461.0,37138.0,41576.0,39511.0,31717.0,38854.0,32722.0,36536.0,21038.0,19862.0,18764.0,25899.0,30952.0,32161.0,28099.0,29519.0,45420.0
