dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std
0.0,0.01,0.02,0.98837943987667,0.015331115787801719,1.033505736293611,0.01658651981983352
0.02,0.03,0.04,0.9884296839671118,0.015757164645926403,1.0358243452650657,0.015952552330646692
0.04,0.05,0.06,0.9897209917780061,0.015688119013144982,1.0386791413683734,0.016151784298679344
0.06,0.07,0.08,0.9879052286742036,0.014277845731150098,1.0274932850022656,0.014466135495171771
0.08,0.09,0.1,0.9814756063720453,0.01340712539730575,1.0208069120978702,0.013874030976077461
0.1,0.11,0.12,0.9845096993833503,0.01325748354636594,1.0177537562301766,0.013336709318886877
0.12,0.13,0.14,0.9920262872559096,0.01294469743541739,1.0143314680561848,0.01292153406976372
0.14,0.15000000000000002,0.16,0.988556130524152,0.013414399365240833,1.0064691391028546,0.011694191184256254
0.16,0.16999999999999998,0.18,0.990233173175745,0.012761052927852961,1.005270645672859,0.011862113715773892
0.18,0.19,0.2,0.9876693859198356,0.01170067062374249,1.0053139601268692,0.010806786796606604
0.2,0.21000000000000002,0.22,0.9866700051387463,0.011778372064100068,1.0015548119619393,0.01113170917503459
0.22,0.22999999999999998,0.24,0.9851132965056528,0.011561766571380229,1.0049619143633894,0.010957592949233002
0.24,0.25,0.26,0.9864777183967113,0.011392123449853872,1.0072616107838697,0.010900697920281182
0.26,0.27,0.28,0.9881312589928057,0.010950915120668989,1.0073411372904395,0.010992272787654479
0.28,0.29000000000000004,0.3,0.9912060405960944,0.011268125703171048,1.0052396012686906,0.010037059984606094
0.3,0.31,0.32,0.9884929085303186,0.011087856350134699,1.008656456728591,0.010026966987059413
0.32,0.33,0.34,0.9824705832476875,0.01006512152740012,0.9993025373810601,0.009381936902442793
0.34,0.35,0.36,0.9862790339157246,0.010492007577271074,0.9941088649750793,0.00940349904638042
0.36,0.37,0.38,0.9860863257965057,0.009967836863014976,0.9957760557317625,0.009720109349890997
0.38,0.39,0.4,0.9842020323741006,0.009866560395982582,0.9947106343452651,0.009589061688864158
0.4,0.41000000000000003,0.42,0.9837045246659814,0.009072121328692723,0.9915104213864976,0.008904456556101626
0.42,0.43,0.44,0.9812743499486125,0.009357888777580444,0.992779907113729,0.008576107300775763
0.44,0.45,0.46,0.9837600565262075,0.009015049208751453,1.0013316968735841,0.009148852020805474
0.46,0.47,0.48,0.9905604265159301,0.009456968859828998,0.9986383121884913,0.00897783289393141
0.48,0.49,0.5,0.9911183581706065,0.0095551288486644,0.9968076370638876,0.008838349012314074
0.5,0.51,0.52,0.9980539902363824,0.010140303949683356,0.9980222383325783,0.00879027234719917
0.52,0.53,0.54,0.9949430806783144,0.00956438526442594,0.9999059288627096,0.009133659340828925
0.54,0.55,0.56,0.99528654676259,0.010002015091019712,1.0051844630720435,0.009821852675462109
0.56,0.5700000000000001,0.58,0.9974311587872561,0.009961298601124541,1.0085244086995921,0.009769834755215114
0.58,0.59,0.6,1.0023513129496402,0.010281539042018648,1.0145186180335297,0.010370571370213877
0.6,0.61,0.62,1.00762306012333,0.010799786548029187,1.0165625804259175,0.010918960016552829
0.62,0.63,0.64,1.0056665364850974,0.010057953356630327,1.00259126869053,0.0101257263754555
0.64,0.65,0.66,1.0045053288797534,0.010765359562122948,0.9920911372904394,0.009998409388762999
0.66,0.67,0.68,1.002618625385406,0.010944179607170054,0.9928425758948798,0.010425421100628298
0.68,0.6900000000000001,0.7000000000000001,1.009878735868448,0.011336849902137553,0.9954377276846397,0.011155997425812629
0.7000000000000001,0.71,0.72,1.0137972816032887,0.012551446811048368,0.9969241662890802,0.011856928336603003
0.72,0.73,0.74,1.0041920169578624,0.012433806307857388,0.9860953035795197,0.011495504836416797
0.74,0.75,0.76,1.0004395246659814,0.011944696760824103,0.9884140915269598,0.013033825150029151
0.76,0.77,0.78,1.0029038180883865,0.013241452573283104,0.9775945423652016,0.012575954263161116
0.78,0.79,0.8,1.0135705704008224,0.014724597901780951,0.9768977775260534,0.013054677962878004
0.8,0.81,0.8200000000000001,1.0022094218910584,0.01424067768067853,0.9791873493429994,0.014329513077894122
0.8200000000000001,0.8300000000000001,0.84,1.0026296659815006,0.014421029737819464,0.9839086905301315,0.014559377953770845
0.84,0.85,0.86,1.022038065262076,0.015110266792692654,0.9892190847304033,0.015576443305211313
0.86,0.87,0.88,1.0229680704008222,0.01695328619566651,0.9788270616221114,0.0173271155287705
0.88,0.89,0.9,1.0184991289825285,0.019328903467408003,0.9859435070231083,0.018574069454810032
0.9,0.91,0.92,1.0342226824254883,0.021383981673980437,0.9840669868599908,0.01812976524883955
0.92,0.93,0.9400000000000001,1.0360869964028776,0.02134848943179101,0.9703384979610331,0.020726598839991738
0.9400000000000001,0.95,0.96,1.0429041212744092,0.024445608527690545,0.9751593724512915,0.022142114363571608
0.96,0.97,0.98,1.054768381294964,0.02766130578474766,1.0047269845944722,0.025826345046539433
0.98,0.99,1.0,1.0445490698869477,0.032138753243533436,0.9911032895333032,0.0299953605771364
