dum_min,dum_mean,dum_max,e_spiral_mean,e_spiral_std,e_elliptic_mean,e_elliptic_std
0.0,0.01,0.02,1.0654749557664975,0.042364416652398484,1.1563191541364513,0.04289244383616675
0.02,0.03,0.04,1.0679408199463387,0.041706702631169594,1.135881937308793,0.03425149933579463
0.04,0.05,0.06,1.0880704002696182,0.0382083307925765,1.1217909164896747,0.031408977214202015
0.06,0.07,0.08,1.0872428580375313,0.03793625314982746,1.1277649747093046,0.034743476567330185
0.08,0.09,0.1,1.0584037103564015,0.03134882568136533,1.1097404759799931,0.027478860193687286
0.1,0.11,0.12,1.0375143544849268,0.030958803302221206,1.1052841309488908,0.025653711043037347
0.12,0.13,0.14,1.0353641988243056,0.030378093523534468,1.1069746242251395,0.027160568824055525
0.14,0.15000000000000002,0.16,1.026233805072835,0.029853998486512507,1.0972520823659344,0.02425638953675217
0.16,0.16999999999999998,0.18,1.0445020334606439,0.035152511092420895,1.085956714021006,0.02388484220881856
0.18,0.19,0.2,1.0430259730451816,0.032153870055029884,1.0573771347658913,0.0209445045337006
0.2,0.21000000000000002,0.22,1.0307778402641026,0.028469001536201473,1.0627475648637446,0.024256799795682592
0.22,0.22999999999999998,0.24,1.034688484589859,0.02996261671054282,1.0595015129240912,0.023176069075920888
0.24,0.25,0.26,1.0155115754191488,0.0264151572792745,1.076539954024204,0.02995016841790704
0.26,0.27,0.28,1.0415581388318624,0.02854736113512871,1.0528177930806164,0.02252379116454835
0.28,0.29000000000000004,0.3,1.0714065376074244,0.03211532108206854,1.055122256510644,0.023898685143021257
0.3,0.31,0.32,1.0675461858072233,0.033092054226150205,1.051176048945114,0.02403085019535194
0.32,0.33,0.34,1.0371064103193628,0.026482927733304223,1.025459584116941,0.020233342145950024
0.34,0.35,0.36,1.0274071807607172,0.028676679781570343,1.0171580285286026,0.019548987611411765
0.36,0.37,0.38,1.0348163922060576,0.03585942452522714,1.0139364866643945,0.021086740366323613
0.38,0.39,0.4,1.016481716083738,0.027486472961791186,1.0351614231885609,0.030254223106794154
0.4,0.41000000000000003,0.42,1.0264241894868569,0.03132166737543205,1.0138801260776766,0.021001780249105283
0.42,0.43,0.44,1.0578690950027125,0.04102332461413202,1.021577622833108,0.029681671215029373
0.44,0.45,0.46,1.0065078933370393,0.026418439140304634,1.0081764462239353,0.023873097968552446
0.46,0.47,0.48,1.0326114257376202,0.03431559265778738,1.0066141595965774,0.025659639881064414
0.48,0.49,0.5,1.0195628787922961,0.02992502579226293,0.9947105625476543,0.024969294459859865
0.5,0.51,0.52,1.0142821083500786,0.02815643220153711,0.9863036679005929,0.023624905202307873
0.52,0.53,0.54,1.0090201766403657,0.029733020583534716,0.9851521836043393,0.02439122047365573
0.54,0.55,0.56,1.0141332097604676,0.03273131679917041,0.9840594724490088,0.02527247196836069
0.56,0.5700000000000001,0.58,1.009052612064264,0.03262913227681542,0.9803480265369289,0.023845691521114175
0.58,0.59,0.6,0.9995592280644084,0.03342861029481278,0.9967837901222436,0.025694212597623348
0.6,0.61,0.62,0.9661428202238391,0.03053279243144758,0.9913327345659798,0.029219837200507765
0.62,0.63,0.64,0.9348959518003239,0.027959125575814963,0.9694355470762248,0.026282821219446872
0.64,0.65,0.66,0.9177705999278639,0.029136761318965188,0.957642902759591,0.025162271175829167
0.66,0.67,0.68,0.9139239256195105,0.032121291164753124,0.9531019385353061,0.024260002035457584
0.68,0.6900000000000001,0.7000000000000001,0.9068335418378256,0.03366756302820645,0.9439234343965694,0.02699521327176861
0.7000000000000001,0.71,0.72,0.8776092508311835,0.030286220230428908,0.9430393126121498,0.02619242649202543
0.72,0.73,0.74,0.8552456253166532,0.031012130892484335,0.9358291915114949,0.026022230489745172
0.74,0.75,0.76,0.879118584962058,0.03613470594180967,0.9436320726116063,0.0295773551196301
0.76,0.77,0.78,0.8828141744789495,0.034674813835100585,0.9396241603277841,0.03138575035234901
0.78,0.79,0.8,0.9345604385823665,0.044246168734458254,0.9147660107907477,0.025855840962137517
0.8,0.81,0.8200000000000001,0.9089201758855182,0.035132962170154665,0.9183999649500086,0.026635941243453
0.8200000000000001,0.8300000000000001,0.84,0.9239970932886268,0.03576012990394827,0.9360398184156526,0.029339328279619707
0.84,0.85,0.86,0.9533487770073938,0.04088406642154412,0.9485795118772127,0.03267942512427839
0.86,0.87,0.88,0.9842866431986416,0.04373885994558138,0.9118092643500681,0.03057151029216056
0.88,0.89,0.9,0.9866281997235603,0.04179734258341371,0.8973399893918179,0.034124669088631626
0.9,0.91,0.92,1.007828856339358,0.050247465099275704,0.8786155558093339,0.03564586989082962
0.92,0.93,0.9400000000000001,0.9805431228574096,0.04426745671719283,0.8796832170841195,0.038516730655514794
0.9400000000000001,0.95,0.96,0.989326601358615,0.05511187333140308,0.8796477376636876,0.04632832980259437
0.96,0.97,0.98,1.010376957255648,0.06037135047179221,0.8649189455824021,0.045970670674223564
0.98,0.99,1.0,1.0730789595982875,0.08733657056795854,0.8562337070459191,0.059400710760600176
