cos_t,cos_p
0.12697681452084958,0.0
0.25724650990008746,0.0
0.543601399417431,0.0
0.6836082610309159,0.0
0.6378785396664028,0.0
,0.0
0.27200497597262085,0.0
0.4291829433707186,0.0
0.6443395821369715,0.0
,0.0
0.6267469349699137,0.0
0.17263837208235608,0.0
0.2738861401233884,0.0
0.4927358976215942,0.0
,0.0
0.2803200821717385,0.0
0.4752587129067122,0.0
0.35360044506893024,0.0
0.43593981238889384,0.0
,0.0
,0.0
,0.0
0.19907248865449323,0.0
0.42031366022651623,0.0
,0.0
,0.0
,0.0
0.4113441480302467,0.0
,0.0
0.5760719912507416,0.0
0.3928600744633364,0.0
0.03469085091347001,0.0
0.6210454304660288,0.0
0.14820178844666376,0.0
0.4005754542774191,0.0
,0.0
0.265292295138325,0.0
0.3238367417543333,0.0
,0.0
0.7552811400782892,0.0
0.4068181415642026,0.0
0.3051127827967778,0.0
,0.0
0.7825626384305948,0.0
0.8480475366089844,0.0
,0.0
0.6470222681956297,0.0
0.5782490612786378,0.0
,0.0
0.7585098710017797,0.0
0.7380967359061945,0.0
0.10431127968319216,0.0
0.4197382170074792,0.0
0.4925421837679611,0.0
,0.0
0.40837923194203596,0.0
0.5450176949661805,0.0
,0.0
0.9826364981915722,0.0
,0.0
,0.0
,0.0
0.253436840789965,0.0
0.4731584964491085,0.0
0.6447519424594655,0.0
0.31000658964103256,0.0
0.13820097056698086,0.0
0.510139306937202,0.0
0.22168493368905873,0.0
0.23053302300278497,0.0
0.39611320023341323,0.0
,0.0
0.23634414655863809,0.0
,0.0
0.15481876426334426,0.0
0.6339545336396659,0.0
,0.0
,0.0
0.20080068532516962,0.0
,0.0
,0.0
0.4528538865593624,0.0
,0.0
0.3246198539947625,0.0
0.46250940861404166,0.0
,0.0
,0.0
0.8917083285053536,0.0
0.6660066529466404,0.0
,0.0
0.6356960358399548,0.0
,0.0
,0.0
0.30393777365877184,0.0
0.2670581530925621,0.0
,0.0
0.4017160554288759,0.0
0.9500634172824615,0.0
0.2101373259797493,0.0
,0.0
0.6822813807412289,0.0
0.8351984465748986,0.0
0.6633450719145771,0.0
0.3009907881933081,0.0
0.4842886848186558,0.0
0.3687057012332272,0.0
0.48770164694025586,0.0
,0.0
0.3999178319245104,0.0
0.8393198627222637,0.0
,0.0
0.7161002908283151,0.0
0.6059181298392045,0.0
0.9162706894594813,0.0
0.7724632407674366,0.0
0.6977771750341704,0.0
,0.0
0.7427959142182012,0.0
0.9269136286751719,0.0
0.8852141712300369,0.0
0.41447447455401376,0.0
0.27351029157028367,0.0
0.25590272204969056,0.0
0.850550349496942,0.0
0.1054768245558134,0.0
,0.0
,0.0
0.6256592914258792,0.0
0.3527644410808704,0.0
0.5633680137542983,0.0
0.06940614989765763,0.0
,0.0
0.3467744035309394,0.0
0.5771067726515474,0.0
,0.0
0.7658671116420788,0.0
,0.0
,0.0
0.6077594636477763,0.0
0.8454082986150967,0.0
0.5397845297320063,0.0
0.9503240313967564,0.0
0.5589253550721976,0.0
,0.0
0.7902521159071724,0.0
0.23762849143188325,0.0
,0.0
0.5859387524819911,0.0
,0.0
,0.0
