rmag,rabsmag,redshift,rad,sern,pos,ba,baslot,x_mu,x_sigma,z_mu,z_sigma
17.8043,-19.8715,0.07561169999999999,4.89211,1.1694,88.8934,0.3147,31,0.22907698595207196,0.03845283699241844,0.8631689958688867,0.08594147330460013
18.7199,-18.9559,0.07586210000000002,4.5084,1.9055,79.8527,0.3319,33,0.2499800512993865,0.11037417566124083,0.8638706909595422,0.049180322313417006
18.3423,-20.1514,0.107991,4.10417,0.6561,57.0063,0.6075,60,0.20727278928100526,0.010127384265947073,0.9426594968809938,0.030326160707840926
18.5384,-19.6589,0.0951557,4.50055,0.7952,-11.3527,0.5552,55,0.196239081800715,0.018251081667238503,0.8889481715001404,0.06817356697955972
16.9712,-21.5166,0.108231,4.75552,1.1055,58.9948,0.5066,50,0.3779057894985467,0.14640528548616344,0.9537296757068451,0.009843144777288919
18.706,-21.0013,0.180418,2.7692799999999997,1.2832,-13.8539,0.6876,68,0.3654352660531489,0.09444977341675356,0.8545995823846039,0.07813504809161897
17.5607,-20.7256,0.09875930000000001,4.27884,0.4854,71.0456,0.4589,45,0.22234723381677027,0.0251223668146347,0.9523130812639578,0.08642706679532582
19.6819,-19.811,0.16499,2.85324,0.4231,-39.7874,0.5835,58,0.19257839918558328,0.02573094394642035,0.8798107527863457,0.027524114979404764
19.7776,-19.476,0.14922,4.33619,0.6509,-32.1336,0.2514,25,0.12317416404216727,0.001184519846435056,0.9098090422715552,0.0470763826398468
17.8061,-20.655,0.106128,2.43153,5.0567,42.4278,0.4201,42,0.3817082083688927,0.23007724482368797,0.9018871679848124,0.037206458924709196
16.9871,-21.474,0.106879,4.19217,4.5241,-70.3244,0.8742,87,0.3952226957794089,0.23132886383491927,0.876277396613311,0.05712261215049062
18.7527,-20.6513,0.158952,5.1361099999999995,0.8064,71.1352,0.9175,91,0.15956853033077245,0.005435457580683534,0.9274638249946154,0.0032301768961342583
16.3638,-21.3877,0.07828380000000001,6.37259,1.6076,-15.4464,0.7747,77,0.3286588840091264,0.10448687540997292,0.89020396800448,0.05580045609214599
