rmag,rabsmag,redshift,rad,sern,pos,ba,baslot,x_mu,x_sigma,z_mu,z_sigma
19.1346,-20.7553,0.19459500000000002,1.7837,5.7371,-80.2378,0.6745,67.0,0.26558399999999993,0.47746000000000005,0.8748000000000001,0.23329999999999995
17.5709,-20.8901,0.106448,4.8503099999999995,2.1901,36.4818,0.3441,34.0,0.108,0.19619999999999999,0.986,0.09989999999999999
17.5882,-21.4341,0.135323,4.16006,3.8985,23.1304,0.6509,65.0,0.49608,0.325168,0.9236,0.18631999999999999
18.4995,-20.1483,0.115369,2.04672,1.6249,-80.6993,0.8832,88.0,0.313408,0.077228,0.9516,0.044219999999999995
18.7527,-20.6513,0.158952,5.1361099999999995,0.8064,71.1352,0.9175,91.0,0.137988,0.014900000000000004,0.9436,0.030299999999999994
18.015,-20.5493,0.11131400000000001,3.83719,3.0883,-11.079,0.6656,66.0,0.21972,0.31282,0.972,0.23561999999999994
18.684,-19.6448,0.100591,3.0809599999999997,2.3969,55.7918,0.8008,80.0,0.21090000000000003,0.2893,0.872,0.05349999999999999
18.6512,-20.1263,0.121947,3.02245,0.9896,-59.0327,0.6911,69.0,0.26440800000000003,0.056844000000000006,0.992,0.17472
19.0524,-21.5699,0.263508,1.97433,2.3094,52.6025,0.1973,19.0,0.260488,0.09722000000000001,0.962,0.048859999999999994
19.4311,-21.1912,0.261385,4.6719599999999994,1.1008,47.0194,0.8197,81.0,0.16190000000000004,0.0345,0.9139999999999999,0.043059999999999994
16.3638,-21.3877,0.07828380000000001,6.37259,1.6076,-15.4464,0.7747,77.0,0.2648,0.18836,0.9556,0.10396
19.0112,-20.7835,0.187075,2.3742099999999997,0.8603,-41.4112,0.5991,59.0,0.39122,0.15994000000000003,0.924,0.12425999999999998
19.0788,-20.9795,0.20858200000000002,2.61461,1.2502,74.6827,0.7942,79.0,0.33006800000000003,0.34966800000000003,0.9156,0.25186000000000003
19.1792,-20.9479,0.21455900000000003,2.57985,0.6543,-16.2075,0.5927,59.0,0.40102,0.11682000000000001,0.9368000000000001,0.08481999999999999
19.685,-20.9204,0.260664,2.22864,0.9553,12.9538,0.5446,54.0,0.367308,0.17130800000000004,0.8896000000000001,0.055819999999999995
18.8334,-20.1918,0.135493,3.49455,0.5365,-3.7362,0.6331,63.0,0.20266800000000001,0.0345,0.812,0.24258000000000002
19.7654,-20.9068,0.267782,3.01927,0.4353,-30.2517,0.5788,57.0,0.26440800000000003,0.115644,0.982,0.09061999999999999
19.6427,-20.9804,0.262527,3.34418,0.8957,-61.2191,0.2665,26.0,0.24324,0.09918,0.96,0.06742
19.1209,-21.637,0.277174,3.13177,0.543,49.5004,0.9855,98.0,0.413564,0.14700400000000005,0.9716,0.09061999999999999
18.4209,-19.8604,0.0985479,4.034330000000001,1.0763,58.3942,0.4332,43.0,0.21383999999999997,0.11878,0.9596,0.26056
19.0391,-21.7999,0.28634499999999996,2.44358,1.3189,-64.2968,0.8731,87.0,0.364564,0.39200399999999996,0.9148,0.08481999999999999
18.8477,-19.6735,0.10927100000000001,2.0754900000000003,1.2291,-39.7676,0.4213,42.0,0.33242,0.11682000000000001,0.962,0.08481999999999999
18.5367,-19.7081,0.0970056,1.88156,1.654,-58.1281,0.3223,32.0,0.3236,0.09134,0.96,0.09641999999999999
